Ingredient,Trade_Name(s),Disease_Category,Duration_Class,Substance_Class,ChEMBL_ID,Gene_Symbol(s),Target_Name(s),Mechanism_of_Action,Action_Type(s),Target_ChEMBL_ID(s),N_Targets,Match_Strategy
ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K,INFUVITE ADULT | MULTIPLE VITAMINS INJECTION ADULT,Metabolic,CHRONIC,mixture,CHEMBL3989859 | CHEMBL196 | CHEMBL1042 | CHEMBL2110563 | CHEMBL1200756 | CHEMBL3989697 | CHEMBL1200941,VDR,Vitamin D3 receptor,Supplement; Vitamin D receptor agonist; Unknown,AGONIST,CHEMBL1977,1,combination
ALPRAZOLAM,ALPRAZOLAM | XANAX | XANAX XR,Psychiatric,PERIODIC,chemical,CHEMBL661,"GABRA1, GABRB2, GABRG2, GABRB3, GABRA4, GABRG3, GABRQ, GABRA3, GABRP, GABRD, GABRG1, GABRB1, GABRE, GABRA2, GABRA5, GABRA6",GABA-A receptor; anion channel,GABA-A receptor; anion channel positive allosteric modulator,POSITIVE ALLOSTERIC MODULATOR,CHEMBL2093872,1,direct
ALPROSTADIL,ALPROSTADIL | CAVERJECT | CAVERJECT IMPULSE | EDEX | PROSTIN VR PEDIATRIC,Other/Unclassified,OTHER,chemical,CHEMBL495,PTGER1 | PTGER2,Prostaglandin E2 receptor EP1 subtype | Prostaglandin E2 receptor EP2 subtype,Prostanoid EP1 receptor agonist; Prostanoid EP2 receptor agonist,AGONIST,CHEMBL1811; CHEMBL1881,2,direct
ALVIMOPAN,ALVIMOPAN,Other/Unclassified,OTHER,chemical,CHEMBL270190,OPRM1,Mu-type opioid receptor,Mu opioid receptor antagonist,ANTAGONIST,CHEMBL233,1,direct
AMANTADINE HYDROCHLORIDE,AMANTADINE HYDROCHLORIDE | GOCOVRI,Neurology,CHRONIC,chemical,CHEMBL1569,"GRIN1, GRIN2A, GRIN2B, GRIN2D, GRIN3B, GRIN2C, GRIN3A | M",Glutamate [NMDA] receptor | Matrix protein 2,Glutamate [NMDA] receptor antagonist; Matrix protein 2 inhibitor,ANTAGONIST | INHIBITOR,CHEMBL2094124; CHEMBL1932894,2,direct
AMBRISENTAN,AMBRISENTAN | LETAIRIS,Cardiovascular,CHRONIC,chemical,CHEMBL1111,"EDNRB, EDNRA","Endothelin receptor, ET-A/ET-B","Endothelin receptor, ET-A/ET-B antagonist",ANTAGONIST,CHEMBL2096678,1,direct
AMCINONIDE,AMCINONIDE,Dermatology,CHRONIC,chemical,CHEMBL1200732,NR3C1,Glucocorticoid receptor,Glucocorticoid receptor agonist,AGONIST,CHEMBL2034,1,direct
AMIFAMPRIDINE PHOSPHATE,FIRDAPSE,Metabolic,CHRONIC,chemical,CHEMBL3301611,"KCNQ1, KCND3, KCNH2, KCNA2, KCNA1, KCNQ2, KCNQ3, KCNA7, KCNQ5, KCNQ4, KCNH1, KCNA4, KCNA5, KCNA3, KCNA6, KCNC1, KCND2, KCNB2, KCNC4, KCNC3, KCNB1, KCNA10, KCNV1, KCNH5, KCNG3, KCNG4, KCNV2, KCNS1, KCNH8, KCNC2, KCNS3, KCNH6, KCNF1, KCNH7, KCND1, KCNG1, KCNG2, KCNH3, KCNS2, KCNH4",Voltage-gated potassium channel,Voltage-gated potassium channel blocker,BLOCKER,CHEMBL2362996,1,direct
AMIFOSTINE,ETHYOL,Other/Unclassified,OTHER,chemical,CHEMBL1006,,,Reactive metabolite scavenging agent,,,0,direct
AMIKACIN SULFATE,AMIKACIN SULFATE | ARIKAYCE KIT,Infectious,SHORT,chemical,CHEMBL4208954,"rpsB, rplD, rpsA, rpsJ, rpsK, rpsL, rpsM, rpsN, rpsO, rpsP, rpsQ, rpsR, rpsS, rpsT, rpsU, rpsC, rpsD, rpsE, rpsF, rpsG, rpsH, rpsI, rplJ, rplK, rplM, rplN, rplO, rplP, rplQ, rplR, rplS, rplA, rplT, rplU, rplV, rplW, rplX, rplY, rpmA, rpmB, rpmC, rplB, rpmD, ykgM, rpmE, rpmF, rpmG, rpmH, rpmI, ykgO, rpmJ, rplC, rplE, rplF, rplL",Bacterial 70S ribosome,Bacterial 70S ribosome inhibitor,INHIBITOR,CHEMBL2363135,1,direct
AMILORIDE HYDROCHLORIDE,AMILORIDE HYDROCHLORIDE | MIDAMOR,Other/Unclassified,OTHER,chemical,CHEMBL1398126,"SCNN1A, SCNN1B, SCNN1G","Amiloride-sensitive sodium channel, ENaC","Amiloride-sensitive sodium channel, ENaC blocker",BLOCKER,CHEMBL2107836,1,direct
AMILORIDE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,AMILORIDE HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,Cardiovascular,CHRONIC,chemical,CHEMBL1398126 | CHEMBL435,"SCNN1A, SCNN1B, SCNN1G | SLC12A3","Amiloride-sensitive sodium channel, ENaC | Solute carrier family 12 member 3","Amiloride-sensitive sodium channel, ENaC blocker; Thiazide-sensitive sodium-chloride cotransporter inhibitor",BLOCKER | INHIBITOR,CHEMBL2107836; CHEMBL1876,2,combination
AMINO ACIDS,AMINO ACIDS | AMINOSYN II 10% IN PLASTIC CONTAINER | AMINOSYN II 15% IN PLASTIC CONTAINER | AMINOSYN-PF 10% | AMINOSYN-PF 7% | CLINISOL 15% SULFITE FREE IN PLASTIC CONTAINER | PREMASOL 10% IN PLASTIC CONTAINER | PREMASOL 6% IN PLASTIC CONTAINER | PROSOL 20% SULFITE FREE IN PLASTIC CONTAINER | TRAVASOL 10% IN PLASTIC CONTAINER | TRAVASOL 5.5% IN PLASTIC CONTAINER | TRAVASOL 8.5% IN PLASTIC CONTAINER | TROPHAMINE | TROPHAMINE 10%,Other/Unclassified,OTHER,mixture,,,,,,,0,not_found
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE",CLINIMIX E 2.75/10 SULFITE FREE W/ ELECT IN DEXTROSE 10% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 2.75/25 SULFITE FREE W/ ELECT IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 2.75/5 SULFITE FREE W/ ELECT IN DEXTROSE 5% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 4.25/10 SULFITE FREE W/ ELECT IN DEXTROSE 10% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 4.25/20 SULFITE FREE W/ ELECT IN DEXTROSE 20% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 4.25/25 SULFITE FREE W/ ELECT IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 4.25/5 SULFITE FREE W/ ELECT IN DEXTROSE 5% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/10 SULFITE FREE W/ ELECT IN DEXTROSE 10% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/15 SULFITE FREE W/ ELECT IN DEXTROSE 15% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/20 SULFITE FREE W/ ELECT IN 20% DEXTROSE W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/25 SULFITE FREE W/ ELECT IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/35 SULFITE FREE W/ ELECT IN DEXTROSE 35% W/ CALCIUM IN PLASTIC CONTAINER,Other,SHORT,mixture,,,,,,,0,not_found
AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM SULFATE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM GLYCEROPHOSPHATE; SOYBEAN OIL,KABIVEN IN PLASTIC CONTAINER | PERIKABIVEN IN PLASTIC CONTAINER,Other,SHORT,mixture,CHEMBL3989857 | CHEMBL1200731,,,Unknown; Supplement,,,0,combination
AMINO ACIDS; DEXTROSE,CLINIMIX 2.75/10 SULFITE FREE IN DEXTROSE 10% IN PLASTIC CONTAINER | CLINIMIX 2.75/25 SULFITE FREE IN DEXTROSE 25% IN PLASTIC CONTAINER | CLINIMIX 2.75/5 SULFITE FREE IN DEXTROSE 5% IN PLASTIC CONTAINER | CLINIMIX 4.25/10 SULFITE FREE IN DEXTROSE 10% IN PLASTIC CONTAINER | CLINIMIX 4.25/20 SULFITE FREE IN DEXTROSE 20% IN PLASTIC CONTAINER | CLINIMIX 4.25/25 SULFITE FREE IN DEXTROSE 25% IN PLASTIC CONTAINER | CLINIMIX 4.25/5 SULFITE FREE IN DEXTROSE 5% IN PLASTIC CONTAINER | CLINIMIX 5/10 SULFITE FREE IN DEXTROSE 10% IN PLASTIC CONTAINER | CLINIMIX 5/15 SULFITE FREE IN DEXTROSE 15% IN PLASTIC CONTAINER | CLINIMIX 5/20 SULFITE FREE IN DEXTROSE 20% IN PLASTIC CONTAINER | CLINIMIX 5/25 SULFITE FREE IN DEXTROSE 25% IN PLASTIC CONTAINER | CLINIMIX 5/35 SULFITE FREE IN DEXTROSE 35% IN PLASTIC CONTAINER | CLINIMIX 8/14 SULFITE FREE IN DEXTROSE 14% IN PLASTIC CONTAINER,Other,SHORT,mixture,,,,,,,0,not_found
AMINOCAPROIC ACID,AMICAR | AMINOCAPROIC ACID | AMINOCAPROIC ACID IN PLASTIC CONTAINER,Autoimmune,SHORT,chemical,CHEMBL1046,PLG | PLAT,Plasminogen | Tissue-type plasminogen activator,Plasminogen inhibitor; Tissue-type plasminogen activator inhibitor,INHIBITOR,CHEMBL1801; CHEMBL1873,2,direct
AMINOLEVULINIC ACID HYDROCHLORIDE,AMELUZ | GLEOLAN | LEVULAN,Other/Unclassified,OTHER,chemical,CHEMBL1200582,,DNA,DNA inhibitor,INHIBITOR,CHEMBL2311221,1,direct
AMINOPHYLLINE,AMINOPHYLLINE,Respiratory,CHRONIC,chemical,CHEMBL1370561,"PDE4A, PDE4D, PDE4B, PDE4C | PDE3A, PDE3B | ADORA1, ADORA2B, ADORA3, ADORA2A",Phosphodiesterase 4 | Phosphodiesterase 3 | Adenosine receptor,Phosphodiesterase 4 inhibitor; Phosphodiesterase 3 inhibitor; Adenosine receptor antagonist,INHIBITOR | ANTAGONIST,CHEMBL2093863; CHEMBL2094125; CHEMBL2111329,3,direct
AMINOSALICYLIC ACID,PASER,Other/Unclassified,OTHER,chemical,CHEMBL1169,folA,Dihydrofolate reductase,Dihydrofolate reductase inhibitor,INHIBITOR,CHEMBL6065,1,direct
AMIODARONE HYDROCHLORIDE,AMIODARONE HYDROCHLORIDE | NEXTERONE | PACERONE,Cardiovascular,CHRONIC,chemical,CHEMBL1083993,KCNH2,Voltage-gated inwardly rectifying potassium channel KCNH2,HERG blocker,BLOCKER,CHEMBL240,1,direct
AMISULPRIDE,BARHEMSYS,Other/Unclassified,OTHER,chemical,CHEMBL243712,"HTR1F, HTR2B, HTR4, HTR1B, HTR3A, HTR1A, HTR1D, HTR2A, HTR2C, HTR1E, HTR7, HTR6, HTR5A, HTR3E, HTR3B, HTR3D, HTR3C | DRD2, DRD3",Serotonin (5-HT) receptor | Dopamine receptors; D2 & D3,Serotonin (5-HT) receptor antagonist; Dopamine receptors; D2 & D3 antagonist,ANTAGONIST,CHEMBL2096904; CHEMBL2095169,2,direct
AMITRIPTYLINE HYDROCHLORIDE,AMITRIPTYLINE HYDROCHLORIDE,Psychiatric,CHRONIC,chemical,CHEMBL1200964,SLC6A4 | SLC6A2,Sodium-dependent serotonin transporter | Sodium-dependent noradrenaline transporter,Serotonin transporter inhibitor; Norepinephrine transporter inhibitor,INHIBITOR,CHEMBL228; CHEMBL222,2,direct
AMITRIPTYLINE HYDROCHLORIDE; CHLORDIAZEPOXIDE,CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE,Psychiatric,CHRONIC,chemical,CHEMBL1200964 | CHEMBL451,"SLC6A4 | SLC6A2 | GABRA1, GABRB2, GABRG2, GABRB3, GABRA4, GABRG3, GABRQ, GABRA3, GABRP, GABRD, GABRG1, GABRB1, GABRE, GABRA2, GABRA5, GABRA6",Sodium-dependent serotonin transporter | Sodium-dependent noradrenaline transporter | GABA-A receptor; anion channel,Serotonin transporter inhibitor; Norepinephrine transporter inhibitor; GABA-A receptor; anion channel positive allosteric modulator,INHIBITOR | POSITIVE ALLOSTERIC MODULATOR,CHEMBL228; CHEMBL222; CHEMBL2093872,3,combination
AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE,PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE,Psychiatric,CHRONIC,chemical,CHEMBL1200964 | CHEMBL567,SLC6A4 | SLC6A2 | DRD2,Sodium-dependent serotonin transporter | Sodium-dependent noradrenaline transporter | D(2) dopamine receptor,Serotonin transporter inhibitor; Norepinephrine transporter inhibitor; Dopamine D2 receptor antagonist,INHIBITOR | ANTAGONIST,CHEMBL228; CHEMBL222; CHEMBL217,3,combination
AMLODIPINE BENZOATE,KATERZIA,Cardiovascular,CHRONIC,chemical,CHEMBL4594262,"CACNA1C, CACNA1S, CACNA1D, CACNA1F",Voltage-gated L-type calcium channel,Voltage-gated L-type calcium channel blocker,BLOCKER,CHEMBL2095229,1,direct
AMLODIPINE BESYLATE,AMLODIPINE BESYLATE | NORLIQVA | NORVASC | SDAMLO,Cardiovascular,CHRONIC,chemical,CHEMBL1200402,"CACNA1C, CACNA1S, CACNA1D, CACNA1F",Voltage-gated L-type calcium channel,Voltage-gated L-type calcium channel blocker,BLOCKER,CHEMBL2095229,1,direct
AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM,AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM | CADUET,Cardiovascular,CHRONIC,chemical,CHEMBL1200402 | CHEMBL393220,"CACNA1C, CACNA1S, CACNA1D, CACNA1F | HMGCR",Voltage-gated L-type calcium channel | 3-hydroxy-3-methylglutaryl-coenzyme A reductase,Voltage-gated L-type calcium channel blocker; HMG-CoA reductase inhibitor,BLOCKER | INHIBITOR,CHEMBL2095229; CHEMBL402,2,combination
AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,Cardiovascular,CHRONIC,chemical,CHEMBL1200402 | CHEMBL1694,"CACNA1C, CACNA1S, CACNA1D, CACNA1F | ACE",Voltage-gated L-type calcium channel | Angiotensin-converting enzyme,Voltage-gated L-type calcium channel blocker; Angiotensin-converting enzyme inhibitor,BLOCKER | INHIBITOR,CHEMBL2095229; CHEMBL1808,2,combination
AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL,"OLMESARTAN MEDOXOMIL, AMLODIPINE AND HYDROCHLOROTHIAZIDE | TRIBENZOR",Cardiovascular,CHRONIC,chemical,CHEMBL1200402 | CHEMBL435 | CHEMBL1200692,"CACNA1C, CACNA1S, CACNA1D, CACNA1F | SLC12A3 | AGTR1",Voltage-gated L-type calcium channel | Solute carrier family 12 member 3 | Type-1 angiotensin II receptor,Voltage-gated L-type calcium channel blocker; Thiazide-sensitive sodium-chloride cotransporter inhibitor; Type-1 angiotensin II receptor antagonist,BLOCKER | INHIBITOR | ANTAGONIST,CHEMBL2095229; CHEMBL1876; CHEMBL227,3,combination
AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE; VALSARTAN,"AMLODIPINE BESYLATE, VALSARTAN AND HYDROCHLOROTHIAZIDE | EXFORGE HCT",Cardiovascular,CHRONIC,chemical,CHEMBL1200402 | CHEMBL435 | CHEMBL1069,"CACNA1C, CACNA1S, CACNA1D, CACNA1F | SLC12A3 | AGTR1",Voltage-gated L-type calcium channel | Solute carrier family 12 member 3 | Type-1 angiotensin II receptor,Voltage-gated L-type calcium channel blocker; Thiazide-sensitive sodium-chloride cotransporter inhibitor; Type-1 angiotensin II receptor antagonist,BLOCKER | INHIBITOR | ANTAGONIST,CHEMBL2095229; CHEMBL1876; CHEMBL227,3,combination
AMLODIPINE BESYLATE; INDAPAMIDE; TELMISARTAN,WIDAPLIK,Cardiovascular,CHRONIC,chemical,CHEMBL1200402 | CHEMBL406 | CHEMBL1017,"CACNA1C, CACNA1S, CACNA1D, CACNA1F | SLC12A3 | AGTR1",Voltage-gated L-type calcium channel | Solute carrier family 12 member 3 | Type-1 angiotensin II receptor,Voltage-gated L-type calcium channel blocker; Thiazide-sensitive sodium-chloride cotransporter inhibitor; Type-1 angiotensin II receptor antagonist,BLOCKER | INHIBITOR | ANTAGONIST,CHEMBL2095229; CHEMBL1876; CHEMBL227,3,combination
AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL,AMLODIPINE AND OLMESARTAN MEDOXOMIL | AZOR,Cardiovascular,CHRONIC,chemical,CHEMBL1200402 | CHEMBL1200692,"CACNA1C, CACNA1S, CACNA1D, CACNA1F | AGTR1",Voltage-gated L-type calcium channel | Type-1 angiotensin II receptor,Voltage-gated L-type calcium channel blocker; Type-1 angiotensin II receptor antagonist,BLOCKER | ANTAGONIST,CHEMBL2095229; CHEMBL227,2,combination
AMLODIPINE BESYLATE; TELMISARTAN,TELMISARTAN AND AMLODIPINE,Cardiovascular,CHRONIC,chemical,CHEMBL1200402 | CHEMBL1017,"CACNA1C, CACNA1S, CACNA1D, CACNA1F | AGTR1",Voltage-gated L-type calcium channel | Type-1 angiotensin II receptor,Voltage-gated L-type calcium channel blocker; Type-1 angiotensin II receptor antagonist,BLOCKER | ANTAGONIST,CHEMBL2095229; CHEMBL227,2,combination
AMLODIPINE BESYLATE; VALSARTAN,AMLODIPINE BESYLATE AND VALSARTAN | EXFORGE,Cardiovascular,CHRONIC,chemical,CHEMBL1200402 | CHEMBL1069,"CACNA1C, CACNA1S, CACNA1D, CACNA1F | AGTR1",Voltage-gated L-type calcium channel | Type-1 angiotensin II receptor,Voltage-gated L-type calcium channel blocker; Type-1 angiotensin II receptor antagonist,BLOCKER | ANTAGONIST,CHEMBL2095229; CHEMBL227,2,combination
AMMONIA N-13,AMMONIA N 13,Other,SHORT,chemical,CHEMBL1201189,,,Diagnostic agent,,,0,direct
AMMONIUM CHLORIDE,AMMONIUM CHLORIDE IN PLASTIC CONTAINER,Metabolic,SHORT,chemical,,,,,,,0,not_found
AMMONIUM LACTATE,AMMONIUM LACTATE,Other/Unclassified,OTHER,chemical,CHEMBL1200747,,,Unknown,,,0,direct
AMOXAPINE,AMOXAPINE,Psychiatric,CHRONIC,chemical,CHEMBL1113,"SLC6A4 | SLC6A2 | DRD2, DRD3, DRD5, DRD4, DRD1",Sodium-dependent serotonin transporter | Sodium-dependent noradrenaline transporter | Dopamine receptor,Serotonin transporter inhibitor; Norepinephrine transporter inhibitor; Dopamine receptor antagonist,INHIBITOR | ANTAGONIST,CHEMBL228; CHEMBL222; CHEMBL2096905,3,direct
AMOXICILLIN,AMOXICILLIN | AMOXICILLIN PEDIATRIC | AMOXIL | LAROTID,Infectious,SHORT,chemical,CHEMBL1082,"dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC",Bacterial penicillin-binding protein,Bacterial penicillin-binding protein inhibitor,INHIBITOR,CHEMBL2354204,1,direct
AMOXICILLIN; CLARITHROMYCIN; LANSOPRAZOLE,"LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN (COPACKAGED)",Infectious,SHORT,chemical,CHEMBL1082 | CHEMBL1741 | CHEMBL480,"dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC | rpsB, rplD, rpsA, rpsJ, rpsK, rpsL, rpsM, rpsN, rpsO, rpsP, rpsQ, rpsR, rpsS, rpsT, rpsU, rpsC, rpsD, rpsE, rpsF, rpsG, rpsH, rpsI, rplJ, rplK, rplM, rplN, rplO, rplP, rplQ, rplR, rplS, rplA, rplT, rplU, rplV, rplW, rplX, rplY, rpmA, rpmB, rpmC, rplB, rpmD, ykgM, rpmE, rpmF, rpmG, rpmH, rpmI, ykgO, rpmJ, rplC, rplE, rplF, rplL | ATP4A, ATP4B",Bacterial penicillin-binding protein | Bacterial 70S ribosome | Potassium-transporting ATPase,Bacterial penicillin-binding protein inhibitor; Bacterial 70S ribosome inhibitor; Potassium-transporting ATPase inhibitor,INHIBITOR,CHEMBL2354204; CHEMBL2363135; CHEMBL2095173,3,combination
AMOXICILLIN; CLARITHROMYCIN; VONOPRAZAN FUMARATE,VOQUEZNA TRIPLE PAK,Infectious,SHORT,chemical,CHEMBL1082 | CHEMBL1741 | CHEMBL2064032,"dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC | rpsB, rplD, rpsA, rpsJ, rpsK, rpsL, rpsM, rpsN, rpsO, rpsP, rpsQ, rpsR, rpsS, rpsT, rpsU, rpsC, rpsD, rpsE, rpsF, rpsG, rpsH, rpsI, rplJ, rplK, rplM, rplN, rplO, rplP, rplQ, rplR, rplS, rplA, rplT, rplU, rplV, rplW, rplX, rplY, rpmA, rpmB, rpmC, rplB, rpmD, ykgM, rpmE, rpmF, rpmG, rpmH, rpmI, ykgO, rpmJ, rplC, rplE, rplF, rplL | ATP4A, ATP4B",Bacterial penicillin-binding protein | Bacterial 70S ribosome | Potassium-transporting ATPase,Bacterial penicillin-binding protein inhibitor; Bacterial 70S ribosome inhibitor; Potassium-transporting ATPase inhibitor,INHIBITOR,CHEMBL2354204; CHEMBL2363135; CHEMBL2095173,3,combination
AMOXICILLIN; CLAVULANATE POTASSIUM,AMOXICILLIN AND CLAVULANATE POTASSIUM | AUGMENTIN '125' | AUGMENTIN '250' | AUGMENTIN '875' | AUGMENTIN ES-600 | AUGMENTIN XR,Infectious,SHORT,chemical,CHEMBL1082 | CHEMBL1003,"dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC | bla, blaT-3, blaT-4, blaT-5, blaT-6",Bacterial penicillin-binding protein | Beta-lactamase TEM,Bacterial penicillin-binding protein inhibitor; Bacterial beta-lactamase TEM inhibitor,INHIBITOR,CHEMBL2354204; CHEMBL2364670,2,combination
AMOXICILLIN; OMEPRAZOLE MAGNESIUM; RIFABUTIN,TALICIA,Infectious,SHORT,chemical,CHEMBL1082 | CHEMBL1567328 | CHEMBL444633,"dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC | ATP4A, ATP4B | rpoB, rpoA, rpoC, rpoZ",Bacterial penicillin-binding protein | Potassium-transporting ATPase | Bacterial DNA-directed RNA polymerase,Bacterial penicillin-binding protein inhibitor; Potassium-transporting ATPase inhibitor; Bacterial DNA-directed RNA polymerase inhibitor,INHIBITOR,CHEMBL2354204; CHEMBL2095173; CHEMBL2364672,3,combination
AMOXICILLIN; VONOPRAZAN FUMARATE,VOQUEZNA DUAL PAK,Infectious,SHORT,chemical,CHEMBL1082 | CHEMBL2064032,"dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC | ATP4A, ATP4B",Bacterial penicillin-binding protein | Potassium-transporting ATPase,Bacterial penicillin-binding protein inhibitor; Potassium-transporting ATPase inhibitor,INHIBITOR,CHEMBL2354204; CHEMBL2095173,2,combination
AMPHETAMINE,ADZENYS XR-ODT | AMPHETAMINE,Psychiatric,CHRONIC,chemical,CHEMBL405,SLC6A3 | SLC6A2,Sodium-dependent dopamine transporter | Sodium-dependent noradrenaline transporter,Dopamine transporter releasing agent; Norepinephrine transporter releasing agent,RELEASING AGENT,CHEMBL238; CHEMBL222,2,direct
AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,"ADDERALL XR 10 | ADDERALL XR 15 | ADDERALL XR 20 | ADDERALL XR 25 | ADDERALL XR 30 | ADDERALL XR 5 | DEXTROAMP SACCHARATE, AMP ASPARTATE, DEXTROAMP SULFATE AND AMP SULFATE | MYDAYIS",Psychiatric,CHRONIC,chemical,CHEMBL1200377 | CHEMBL501 | CHEMBL3989844 | CHEMBL3544971,SLC6A3 | SLC6A2 | SLC18A2,Sodium-dependent dopamine transporter | Sodium-dependent noradrenaline transporter | Synaptic vesicular amine transporter,Dopamine transporter releasing agent; Norepinephrine transporter releasing agent; Synaptic vesicular amine transporter inhibitor,RELEASING AGENT | INHIBITOR,CHEMBL238; CHEMBL222; CHEMBL1893,3,combination
AMPHETAMINE SULFATE,AMPHETAMINE SULFATE | EVEKEO,Psychiatric,CHRONIC,chemical,CHEMBL501,SLC6A3 | SLC6A2,Sodium-dependent dopamine transporter | Sodium-dependent noradrenaline transporter,Dopamine transporter releasing agent; Norepinephrine transporter releasing agent,RELEASING AGENT,CHEMBL238; CHEMBL222,2,direct
AMPHETAMINE; AMPHETAMINE ASPARTATE/DEXTROAMPHETAMINE SULFATE,DYANAVEL XR | DYANAVEL XR 10 | DYANAVEL XR 15 | DYANAVEL XR 20 | DYANAVEL XR 5,Psychiatric,CHRONIC,chemical,CHEMBL405,SLC6A3 | SLC6A2,Sodium-dependent dopamine transporter | Sodium-dependent noradrenaline transporter,Dopamine transporter releasing agent; Norepinephrine transporter releasing agent,RELEASING AGENT,CHEMBL238; CHEMBL222,2,component
AMPHOTERICIN B,AMBISOME | AMPHOTERICIN B,Infectious,SHORT,chemical,CHEMBL267345,,Ergosterol,Ergosterol sequestering agent,SEQUESTERING AGENT,CHEMBL2364028,1,direct
AMPICILLIN SODIUM,AMPICILLIN SODIUM,Infectious,SHORT,chemical,CHEMBL1200758,"dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC",Bacterial penicillin-binding protein,Bacterial penicillin-binding protein inhibitor,INHIBITOR,CHEMBL2354204,1,direct
AMPICILLIN SODIUM; SULBACTAM SODIUM,AMPICILLIN AND SULBACTAM | UNASYN,Infectious,SHORT,chemical,CHEMBL1200758 | CHEMBL1200944,"dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC | bla, blaT-3, blaT-4, blaT-5, blaT-6",Bacterial penicillin-binding protein | Beta-lactamase TEM,Bacterial penicillin-binding protein inhibitor; Bacterial beta-lactamase TEM inhibitor,INHIBITOR,CHEMBL2354204; CHEMBL2364670,2,combination
AMPICILLIN/AMPICILLIN TRIHYDRATE,AMPICILLIN TRIHYDRATE,Infectious,SHORT,unknown,CHEMBL174,"dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC",Bacterial penicillin-binding protein,Bacterial penicillin-binding protein inhibitor,INHIBITOR,CHEMBL2354204,1,direct
ANAGRELIDE HYDROCHLORIDE,AGRYLIN | ANAGRELIDE HYDROCHLORIDE,Other/Unclassified,OTHER,chemical,CHEMBL1200759,"PDE3A, PDE3B",Phosphodiesterase 3,Phosphodiesterase 3 inhibitor,INHIBITOR,CHEMBL2094125,1,direct
ANASTROZOLE,ANASTROZOLE | ARIMIDEX,Oncology,LONG-TERM,chemical,CHEMBL1399,CYP19A1,Aromatase,Cytochrome P450 19A1 inhibitor,INHIBITOR,CHEMBL1978,1,direct
ANGIOTENSIN II ACETATE,ANGIOTENSIN ll ACETATE | GIAPREZA,Other/Unclassified,OTHER,protein,CHEMBL3989932,AGTR1,Type-1 angiotensin II receptor,Type-1 angiotensin II receptor agonist,AGONIST,CHEMBL227,1,direct
ANIDULAFUNGIN,ERAXIS,Infectious,SHORT,chemical,CHEMBL264241,GSC1,"1,3-beta-glucan synthase","1,3-beta-glucan synthase inhibitor",INHIBITOR,CHEMBL2364673,1,direct
