Ingredient,Trade_Name(s),Substance_Class,UNII,Disease_Category,Duration_Class,NDA_Count,ANDA_Count,Generic_Competitor_Count,Earliest_Approval,Medicaid_Total_Reimbursed_2023_USD,Medicaid_Total_Reimbursed_2023_USD_M,Medicaid_Total_Prescriptions_2023,Medicaid_Total_Units_2023,NADAC_Avg_Per_Unit_2024_USD,Medicaid_Matched_Product_Names
AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL,"OLMESARTAN MEDOXOMIL, AMLODIPINE AND HYDROCHLOROTHIAZIDE | TRIBENZOR",chemical,864V2Q084H | 0J48LPH2TH | 6M97XTV3HD,Cardiovascular,CHRONIC,1,7,32,2010-07-23,,,,,16.2032,TRIBENZOR
AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE; VALSARTAN,"AMLODIPINE BESYLATE, VALSARTAN AND HYDROCHLOROTHIAZIDE | EXFORGE HCT",chemical,864V2Q084H | 0J48LPH2TH | 80M03YXJ7I,Cardiovascular,CHRONIC,1,4,20,2009-04-30,,,,,14.6320,
AMLODIPINE BESYLATE; INDAPAMIDE; TELMISARTAN,WIDAPLIK,chemical,864V2Q084H | F089I0511L | U5SYW473RQ,Cardiovascular,CHRONIC,1,0,0,2025-06-05,,,,,,
AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL,AMLODIPINE AND OLMESARTAN MEDOXOMIL | AZOR,chemical,864V2Q084H | 6M97XTV3HD,Cardiovascular,CHRONIC,1,9,36,2007-09-26,,,,,14.5285,AZOR | AZOR 10-40 | AZOR 10/40 | AZOR 5/40M | AZOR TABLE
AMLODIPINE BESYLATE; TELMISARTAN,TELMISARTAN AND AMLODIPINE,chemical,864V2Q084H | U5SYW473RQ,Cardiovascular,CHRONIC,0,1,4,2014-08-26,,,,,,
AMLODIPINE BESYLATE; VALSARTAN,AMLODIPINE BESYLATE AND VALSARTAN | EXFORGE,chemical,864V2Q084H | 80M03YXJ7I,Cardiovascular,CHRONIC,1,7,28,2007-06-20,179857.63,0.18,360,13969,13.0340,EXFORGE | EXFORGE 10 | EXFORGE 5- | EXFORGE FC | EXFORGE HC
AMMONIA N-13,AMMONIA N 13,chemical,9OQO0E343Z,Other,SHORT,1,23,24,2007-08-23,,,,,,AMMONIA IN
AMMONIUM CHLORIDE,AMMONIUM CHLORIDE IN PLASTIC CONTAINER,chemical,01Q9PC255D,Metabolic,SHORT,0,1,1,1984-06-13,11129285.39,11.13,525187,151156051,,AMMONIUM C | AMMONIUM L
AMMONIUM LACTATE,AMMONIUM LACTATE,chemical,67M901L9NQ,Other/Unclassified,OTHER,0,6,6,2002-05-01,,,,,0.0548,
AMOXAPINE,AMOXAPINE,chemical,R63VQ857OT,Psychiatric,CHRONIC,0,2,8,1991-06-28,34880.19,0.03,571,34111,,AMOXAPINE
AMOXICILLIN,AMOXICILLIN | AMOXICILLIN PEDIATRIC | AMOXIL | LAROTID,chemical,804826J2HU,Infectious,SHORT,1,22,45,1982-12-01,,,,,0.0914,
AMOXICILLIN; CLARITHROMYCIN; LANSOPRAZOLE,"LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN (COPACKAGED)",chemical,804826J2HU | H1250JIK0A | 0K5C5T2QPG,Infectious,SHORT,0,2,2,2014-03-04,,,,,,
AMOXICILLIN; CLARITHROMYCIN; VONOPRAZAN FUMARATE,VOQUEZNA TRIPLE PAK,chemical,804826J2HU | H1250JIK0A | 4QW3X4AMLB,Infectious,SHORT,1,0,0,2022-05-03,,,,,6.9243,
AMOXICILLIN; CLAVULANATE POTASSIUM,AMOXICILLIN AND CLAVULANATE POTASSIUM | AUGMENTIN '125' | AUGMENTIN '250' | AUGMENTIN '875' | AUGMENTIN ES-600 | AUGMENTIN XR,chemical,804826J2HU | Q42OMW3AT8,Infectious,SHORT,4,32,42,1984-08-06,,,,,,
AMOXICILLIN; OMEPRAZOLE MAGNESIUM; RIFABUTIN,TALICIA,chemical,804826J2HU | 426QFE7XLK | 1W306TDA6S,Infectious,SHORT,1,0,0,2019-11-01,9044827.80,9.04,12258,2051792,4.6345,TALICIA | TALICIA DR
AMOXICILLIN; VONOPRAZAN FUMARATE,VOQUEZNA DUAL PAK,chemical,804826J2HU | 4QW3X4AMLB,Infectious,SHORT,1,0,0,2022-05-03,,,,,,
AMPHETAMINE,ADZENYS XR-ODT | AMPHETAMINE,chemical,CK833KGX7E,Psychiatric,CHRONIC,1,1,6,2016-01-27,,,,,12.1096,
AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,"ADDERALL XR 10 | ADDERALL XR 15 | ADDERALL XR 20 | ADDERALL XR 25 | ADDERALL XR 30 | ADDERALL XR 5 | DEXTROAMP SACCHARATE, AMP ASPARTATE, DEXTROAMP SULFATE AND AMP SULFATE | MYDAYIS",chemical,H527KAP6L5 | 6DPV8NK46S | G83415V073 | JJ768O327N,Psychiatric,CHRONIC,2,31,192,2001-10-11,29311326.82,29.31,89959,2692847,10.8275,MYDAYIS | MYDAYIS 12 | MYDAYIS 25 | MYDAYIS 37 | MYDAYIS 50
AMPHETAMINE SULFATE,AMPHETAMINE SULFATE | EVEKEO,chemical,6DPV8NK46S,Psychiatric,CHRONIC,0,11,22,2012-08-09,337470.52,0.34,677,46965,7.6595,EVEKEO | EVEKEO (AM | EVEKEO 10 | EVEKEO 10M | EVEKEO 30C
AMPHETAMINE; AMPHETAMINE ASPARTATE/DEXTROAMPHETAMINE SULFATE,DYANAVEL XR | DYANAVEL XR 10 | DYANAVEL XR 15 | DYANAVEL XR 20 | DYANAVEL XR 5,chemical,CK833KGX7E,Psychiatric,CHRONIC,2,0,0,2015-10-19,,,,,10.5847,
AMPHOTERICIN B,AMBISOME | AMPHOTERICIN B,chemical,7XU7A7DROE,Infectious,SHORT,1,5,5,1992-04-29,6688670.34,6.69,3101,29658,,AMBISOME | AMBISOME 5 | AMBISOME L
AMPICILLIN SODIUM,AMPICILLIN SODIUM,chemical,JFN36L5S8K,Infectious,SHORT,0,14,35,1987-05-12,14199150.46,14.20,165685,2942739,1.8390,AMPICILLIN
AMPICILLIN SODIUM; SULBACTAM SODIUM,AMPICILLIN AND SULBACTAM | UNASYN,chemical,JFN36L5S8K | DKQ4T82YE6,Infectious,SHORT,1,14,21,1986-12-31,2632018.17,2.63,11195,28385,,UNASYN | UNASYN  AM | UNASYN (AM | UNASYN 1.5 | UNASYN 15
AMPICILLIN/AMPICILLIN TRIHYDRATE,AMPICILLIN TRIHYDRATE,unknown,,Infectious,SHORT,0,2,3,1995-08-29,,,,,,
ANAGRELIDE HYDROCHLORIDE,AGRYLIN | ANAGRELIDE HYDROCHLORIDE,chemical,YTM763Y5C8,Other/Unclassified,OTHER,1,4,8,1997-03-14,499630.80,0.50,3373,281917,1.1319,AGRYLIN 0. | ANAGRELIDE
ANASTROZOLE,ANASTROZOLE | ARIMIDEX,chemical,2Z07MYW1AZ,Oncology,LONG-TERM,1,8,8,1995-12-27,494072.27,0.49,248,8312,25.9603,ARIMIDEX | ARIMIDEX 1
ANGIOTENSIN II ACETATE,ANGIOTENSIN ll ACETATE | GIAPREZA,protein,31L3HS630A,Other/Unclassified,OTHER,1,1,1,2017-12-21,,,,,,
ANIDULAFUNGIN,ERAXIS,chemical,9HLM53094I,Infectious,SHORT,1,0,0,2006-02-17,231208.49,0.23,849,1827,,ERAXIS | ERAXIS (AN | ERAXIS (WA
APALUTAMIDE,APALUTAMIDE | ERLEADA,chemical,4T36H88UA7,Oncology,LONG-TERM,1,1,1,2018-02-14,86692767.38,86.69,6321,693256,,ERLEADA | ERLEADA 24 | ERLEADA 60
APIXABAN,APIXABAN | ELIQUIS | ELIQUIS SPRINKLE,chemical,3Z9Y7UWC1J,Cardiovascular,CHRONIC,2,2,4,2012-12-28,2301111905.19,2301.11,3868342,254057405,9.5072,ELIQUIS | ELIQUIS 2. | ELIQUIS 5 | ELIQUIS DV | ELIQUIS ST
APOMORPHINE HYDROCHLORIDE,APOKYN | APOMORPHINE HYDROCHLORIDE | ONAPGO,chemical,F39049Y068,Pain,CHRONIC,2,1,1,2004-04-20,686616.77,0.69,24,1425,,APOKYN | APOKYN INJ
APRACLONIDINE HYDROCHLORIDE,APRACLONIDINE HYDROCHLORIDE | IOPIDINE,chemical,D2VW67N38H,Cardiovascular,CHRONIC,2,1,1,1987-12-31,60941.07,0.06,104,235,7.3124,IOPIDINE | IOPIDINE 1
APREMILAST,APREMILAST | OTEZLA | OTEZLA XR,chemical,UP7QBP99PN,Autoimmune,CHRONIC,2,5,15,2014-03-21,640885924.41,640.89,140737,8709939,85.5221,OTEZLA | OTEZLA  AP | OTEZLA (AP | OTEZLA 28 | OTEZLA 30
APREPITANT,APONVIE | APREPITANT | CINVANTI | EMEND,chemical,1NF15YR6UY,Other/Unclassified,OTHER,4,3,9,2003-03-26,44848646.96,44.85,106036,1363551,98.8359,APONVIE | APONVIE 32 | APREPITANT | CINVANTI | CINVANTI 1
APROCITENTAN,TRYVIO,chemical,MZI81HV01P,Other/Unclassified,OTHER,1,0,0,2024-03-19,,,,,,
ARFORMOTEROL TARTRATE,ARFORMOTEROL TARTRATE,chemical,5P8VJ2I235,Respiratory,CHRONIC,0,16,16,2021-06-22,,,,,0.6915,
ARGATROBAN,ARGATROBAN | ARGATROBAN IN SODIUM CHLORIDE,chemical,IY90U61Z3S,Other/Unclassified,OTHER,4,7,7,2011-05-09,,,,,,ARGATROBAN
ARGININE HYDROCHLORIDE,R-GENE 10,chemical,F7LTH1E20Y,Other/Unclassified,OTHER,1,0,0,,104124.58,0.10,645,329212,,ARGININE | R-GENE 10
ARIMOCLOMOL CITRATE,MIPLYFFA,chemical,Q85FFY6179,Other/Unclassified,OTHER,1,0,0,2024-09-20,,,,,,
ARIPIPRAZOLE,ABILIFY | ABILIFY ASIMTUFII | ABILIFY MAINTENA KIT | ARIPIPRAZOLE | OPIPZA,chemical,82VFR53I78,Psychiatric,CHRONIC,4,28,102,2002-11-15,1601248005.95,1601.25,659794,1316543,615.8353,ABILIFY | ABILIFY 10 | ABILIFY 15 | ABILIFY 2 | ABILIFY 20
ARIPIPRAZOLE LAUROXIL,ARISTADA | ARISTADA INITIO KIT,chemical,B786J7A343,Psychiatric,CHRONIC,2,0,0,2015-10-05,634228198.54,634.23,237850,711116,918.5227,ARISTADA | ARISTADA 1 | ARISTADA 4 | ARISTADA 6 | ARISTADA 8
ARMODAFINIL,ARMODAFINIL | NUVIGIL,chemical,V63XWA605I,Psychiatric,CHRONIC,1,5,21,2007-06-15,5833361.86,5.83,5728,189318,15.2517,NUVIGIL | NUVIGIL 15 | NUVIGIL 25 | NUVIGIL 50 | NUVIGIL TA
ARSENIC TRIOXIDE,ARSENIC TRIOXIDE | TRISENOX,chemical,S7V92P67HO,Oncology,LONG-TERM,1,10,14,2017-10-13,3104863.36,3.10,11898,124823,,ARSENIC TR | TRISENOX | TRISENOX ( | TRISENOX 1 | TRISENOX I
ARTEMETHER; LUMEFANTRINE,COARTEM,chemical,C7D6T3H22J | F38R0JR742,Infectious,SHORT,1,0,0,2009-04-07,31178.13,0.03,184,3622,5.3959,COARTEM | COARTEM TA
ARTESUNATE,ARTESUNATE,chemical,60W3249T9M,Other/Unclassified,OTHER,1,0,0,2020-05-26,,,,,,
ARTICAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE,ORABLOC | SEPTOCAINE,chemical,QS9014Q792 | 30Q7KI53AK,Cardiovascular,SHORT,2,0,0,2000-04-03,,,,,,
ASCIMINIB HYDROCHLORIDE,SCEMBLIX,chemical,C5U34S9XFV,Oncology,LONG-TERM,1,0,0,2021-10-29,85057889.77,85.06,3131,257848,,SCEMBLIX | SCEMBLIX 2 | SCEMBLIX 4 | SCEMBLIX F
ASCORBIC ACID,ASCOR | ASCORBIC ACID,chemical,PQ6CK8PD0R,Other/Unclassified,OTHER,1,1,1,2017-10-02,3115.90,0.00,1551,80522,,ASCORBIC A
ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE; RIBOFLAVIN; THIAMINE; TOCOPHEROL ACETATE; VITAMIN A; VITAMIN K,INFUVITE PEDIATRIC | INFUVITE PEDIATRIC (PHARMACY BULK PACKAGE) | MULTIPLE VITAMINS INJECTION PEDIATRIC | MULTIPLE VITAMINS INJECTION PEDIATRIC (PHARMACY BULK PACKAGE),mixture,PQ6CK8PD0R | 6SO6U10H04 | 1C6V77QF41 | P6YC3EG204 | 1O6C93RI7Z | 935E97BOY8 | 25X51I8RD4 | KV2JZ1BI6Z | TLM2976OFR | X66NSO3N35 |  | 81G40H8B0T | A034SE7857,Metabolic,CHRONIC,1,2,2,2001-02-21,,,,,,
ASCORBIC ACID; POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM ASCORBATE; SODIUM CHLORIDE; SODIUM SULFATE,"MOVIPREP | PEG-3350, SODIUM SULFATE, SODIUM CHLORIDE, POTASSIUM CHLORIDE, SODIUM ASCORBATE AND ASCORBIC ACID | PLENVU",polymer,PQ6CK8PD0R | G2M7P15E5P | 660YQ98I10 | S033EH8359 | 451W47IQ8X | 0YPR65R21J,GI,PERIODIC,2,1,1,2006-08-02,4253889.61,4.25,30822,30816,82.8050,MOVIPREP | MOVIPREP P | PLENVU | PLENVU KIT | PLENVU POW
ASENAPINE,SECUADO,chemical,JKZ19V908O,Psychiatric,CHRONIC,1,0,0,2019-10-11,19748164.67,19.75,94877,4292597,23.3382,ASENAPINE | SECUADO | SECUADO 3. | SECUADO 5. | SECUADO 7.
ASENAPINE MALEATE,ASENAPINE MALEATE | SAPHRIS,chemical,CU9463U2E2,Psychiatric,CHRONIC,1,3,8,2009-08-13,37534158.57,37.53,41378,1952377,19.1861,SAPHRIS | SAPHRIS 10 | SAPHRIS 2. | SAPHRIS 5
ASPIRIN,VAZALORE,chemical,R16CO5Y76E,Cardiovascular,CHRONIC,1,0,0,2013-01-14,93026486.59,93.03,13218889,562665666,0.0174,ASPIRIN | ASPIRIN  L | ASPIRIN & | ASPIRIN 30 | ASPIRIN 32
ASPIRIN; BUTALBITAL; CAFFEINE,"BUTALBITAL, ASPIRIN AND CAFFEINE | LANORINAL",chemical,R16CO5Y76E | KHS0AZ4JVK | 3G6A5W338E,Cardiovascular,CHRONIC,0,2,2,1985-10-11,,,,,,
ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,"BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE",chemical,R16CO5Y76E | KHS0AZ4JVK | 3G6A5W338E | GSL05Y1MN6,Cardiovascular,CHRONIC,0,2,2,1998-08-31,,,,,,
ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE,ORPHENGESIC | ORPHENGESIC FORTE,chemical,R16CO5Y76E | 3G6A5W338E | X0A40N8I4S,Cardiovascular,CHRONIC,0,1,2,1998-05-29,,,,,,
ASPIRIN; DIPYRIDAMOLE,ASPIRIN AND DIPYRIDAMOLE,chemical,R16CO5Y76E | 64ALC7F90C,Cardiovascular,CHRONIC,0,8,8,2009-08-14,,,,,,
ASPIRIN; HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ASPIRIN,chemical,R16CO5Y76E | NO70W886KK,Cardiovascular,CHRONIC,0,1,1,2021-05-28,,,,,,
ATAZANAVIR SULFATE,ATAZANAVIR SULFATE | REYATAZ,chemical,4MT4VIE29P,Infectious,CHRONIC,2,4,14,2003-06-20,2299135.83,2.30,8418,314727,2.2236,ATAZANAVIR | REYATAZ | REYATAZ 20 | REYATAZ 30
ATAZANAVIR SULFATE; COBICISTAT,EVOTAZ,chemical,4MT4VIE29P | LW2E03M5PG,Infectious,CHRONIC,1,0,0,2015-01-29,10429242.95,10.43,6223,198276,52.0377,EVOTAZ | EVOTAZ 300
ATENOLOL,ATENOLOL | TENORMIN,chemical,50VV3VW0TI,Cardiovascular,CHRONIC,1,9,27,1988-07-15,20747123.96,20.75,2256927,126274958,5.1330,ATENOLOL | ATENOLOL + | ATENOLOL 1 | ATENOLOL 2 | ATENOLOL 5
ATENOLOL; CHLORTHALIDONE,ATENOLOL AND CHLORTHALIDONE,chemical,50VV3VW0TI | Q0MQD1073Q,Cardiovascular,CHRONIC,0,5,10,1990-05-31,,,,,,
ATOGEPANT,QULIPTA,chemical,7CRV8RR151,Other/Unclassified,OTHER,1,0,0,2021-09-28,202559643.84,202.56,192218,6083061,34.9383,QULIPTA | QULIPTA  A | QULIPTA (A | QULIPTA 10 | QULIPTA 30
ATOMOXETINE HYDROCHLORIDE,ATOMOXETINE HYDROCHLORIDE | ATONCY,chemical,57WVB6I2W0,Psychiatric,CHRONIC,1,8,56,2010-09-16,,,,,0.4828,
ATORVASTATIN CALCIUM,ATORVALIQ | ATORVASTATIN CALCIUM | LIPITOR,chemical,48A5M73Z4Q,Metabolic,CHRONIC,2,25,96,1996-12-17,1146641.31,1.15,4332,119263,7.4642,ATORVALIQ | LIPITOR | LIPITOR 10 | LIPITOR 20 | LIPITOR 40
ATORVASTATIN CALCIUM; EZETIMIBE,LYPQOZET,chemical,48A5M73Z4Q | EOR26LQQ24,Metabolic,CHRONIC,0,1,4,2017-04-26,,,,,,
ATOVAQUONE,ATOVAQUONE | MEPRON,chemical,Y883P1Z2LT,Infectious,SHORT,1,7,7,1995-02-08,19310359.51,19.31,95619,13732177,0.8543,ATOVAQUONE | MEPRON | MEPRON 750 | MEPRON SUS
ATOVAQUONE; PROGUANIL HYDROCHLORIDE,ATOVAQUONE AND PROGUANIL HYDROCHLORIDE | MALARONE | MALARONE PEDIATRIC,chemical,Y883P1Z2LT | R71Y86M0WT,Infectious,SHORT,1,2,4,2000-07-14,,,,,6.6105,MALARONE | MALARONE 6 | MALARONE T
ATRACURIUM BESYLATE,ATRACURIUM BESYLATE | ATRACURIUM BESYLATE PRESERVATIVE FREE,mixture,40AX66P76P,Other,SHORT,0,6,6,1997-07-18,,,,,,ATRACURIUM
ATRASENTAN HYDROCHLORIDE,VANRAFIA,chemical,E4G31X93ZA,Other/Unclassified,OTHER,1,0,0,2025-04-02,,,,,,
ATROPINE SULFATE,ATROPINE SULFATE | ISOPTO ATROPINE,chemical,03J5ZE7KA5,Cardiovascular,SHORT,6,16,22,2001-07-09,15859323.61,15.86,256471,1237735,5.6987,ATROPINE 0 | ATROPINE 1 | ATROPINE 8 | ATROPINE D | ATROPINE I
ATROPINE SULFATE; DIFENOXIN HYDROCHLORIDE,MOTOFEN,chemical,03J5ZE7KA5 | VQZ63K01IW,Cardiovascular,SHORT,1,0,0,,156732.59,0.16,194,23078,6.6067,MOTOFEN | MOTOFEN  1 | MOTOFEN 1-
ATROPINE SULFATE; DIPHENOXYLATE HYDROCHLORIDE,DIPHENOXYLATE HYDROCHLORIDE AND ATROPINE SULFATE | LOMOTIL,chemical,03J5ZE7KA5 | W24OD7YW48,Cardiovascular,SHORT,1,8,8,1982-05-03,7267.71,0.01,81,2449,2.8949,LOMOTIL | LOMOTIL 2.
ATROPINE; PRALIDOXIME CHLORIDE,DUODOTE,chemical,7C0697DR9I | 38X7XS076H,Cardiovascular,SHORT,1,0,0,2006-09-28,,,,,,
AURANOFIN,RIDAURA,chemical,3H04W2810V,Other/Unclassified,OTHER,1,0,0,1985-05-24,10496.30,0.01,11,432,,RIDAURA | RIDAURA  A | RIDAURA (A | RIDAURA 3
AVACINCAPTAD PEGOL SODIUM,IZERVAY,nucleicAcid,K86ENL12I5,Other/Unclassified,OTHER,1,0,0,2023-08-04,43186.42,0.04,29,5,,IZERVAY | IZERVAY 2
AVACOPAN,TAVNEOS,chemical,O880NM097T,Other/Unclassified,OTHER,1,0,0,2021-10-07,23147946.28,23.15,1552,275776,,TAVNEOS | TAVNEOS 10
AVANAFIL,AVANAFIL | STENDRA,chemical,DR5S136IVO,Other/Unclassified,OTHER,1,1,3,2012-04-27,,,,,,
AVAPRITINIB,AYVAKIT,chemical,513P80B4YJ,Oncology,LONG-TERM,1,0,0,2020-01-09,10457413.11,10.46,267,8518,,AYVAKIT | AYVAKIT 20 | AYVAKIT 25 | AYVAKIT 30 | AYVAKIT 50
AVATROMBOPAG MALEATE,DOPTELET | DOPTELET SPRINKLE,chemical,GDW7M2P1IS,Other/Unclassified,OTHER,2,0,0,2018-05-21,38959889.12,38.96,2966,101374,,DOPTELET | DOPTELET (
AVIBACTAM SODIUM; AZTREONAM,EMBLAVEO,chemical,9V824P8TAI | G2B4VE5GH8,Infectious,SHORT,1,0,0,2025-02-07,,,,,,
AVIBACTAM SODIUM; CEFTAZIDIME,AVYCAZ,chemical,9V824P8TAI | 9M416Z9QNR,Infectious,SHORT,1,0,0,2015-02-25,11970429.78,11.97,3838,42049,,AVYCAZ | AVYCAZ  CE | AVYCAZ (CE | AVYCAZ 2.5 | AVYCAZ INN
AVOBENZONE; ECAMSULE; OCTOCRYLENE,ANTHELIOS SX | CAPITAL SOLEIL 15,chemical,G63QQF2NOX | M94R1PM439 | 5A68WGF6WM,Other/Unclassified,OTHER,2,0,0,2006-07-21,,,,,,
AVOBENZONE; ECAMSULE; OCTOCRYLENE; TITANIUM DIOXIDE,ANTHELIOS 20 | ANTHELIOS 40,chemical,G63QQF2NOX | M94R1PM439 | 5A68WGF6WM | 15FIX9V2JP,Other/Unclassified,OTHER,2,0,0,2006-10-05,,,,,,
AVUTOMETINIB POTASSIUM; DEFACTINIB HYDROCHLORIDE,AVMAPKI FAKZYNJA CO-PACK (COPACKAGED),chemical,223UH3FM7T | L2S469LM49,Oncology,LONG-TERM,1,0,0,2025-05-08,,,,,,
AXITINIB,INLYTA,chemical,C9LVQ0YUXG,Oncology,LONG-TERM,1,0,0,2012-01-27,92836679.81,92.84,5222,404684,,INLYTA | INLYTA  AX | INLYTA (AX | INLYTA 1 M | INLYTA 5 M
AZACITIDINE,AZACITIDINE | ONUREG | VIDAZA,chemical,M801H13NRU,GI,CHRONIC,3,12,12,2004-05-19,18182681.38,18.18,2894,13196,,ONUREG | ONUREG  AZ | ONUREG (AZ | ONUREG 200 | ONUREG 300
AZATHIOPRINE,AZASAN | AZATHIOPRINE | IMURAN,chemical,MRK240IY2L,Autoimmune,CHRONIC,1,5,16,1996-02-16,71128.07,0.07,119,10612,4.9532,AZASAN | AZASAN 100 | AZASAN 75 | IMURAN | IMURAN  AZ
AZATHIOPRINE SODIUM,AZATHIOPRINE SODIUM,chemical,AM94R510MS,Autoimmune,CHRONIC,0,1,1,1995-03-31,,,,,,
AZELAIC ACID,AZELAIC ACID | AZELEX | FINACEA,chemical,F2VW3D43YT,Other/Unclassified,OTHER,3,4,4,1995-09-13,19510333.86,19.51,133061,6721742,4.4604,AZELAIC AC | AZELEX | AZELEX (AZ | AZELEX 20% | FINACEA
AZELASTINE HYDROCHLORIDE,ASTEPRO ALLERGY | AZELASTINE HYDROCHLORIDE | AZELASTINE HYDROCHLORIDE ALLERGY | AZELASTINE HYDROCHLORIDE CHILDREN'S ALLERGY | CHILDREN'S ASTEPRO ALLERGY,chemical,0L591QR10I,Respiratory,PERIODIC,1,13,14,2009-04-30,47178761.59,47.18,2774442,68637175,0.7293,AZELASTINE
AZELASTINE HYDROCHLORIDE; FLUTICASONE PROPIONATE,AZELASTINE HYDROCHLORIDE AND FLUTICASONE PROPIONATE | DYMISTA,chemical,0L591QR10I | O2GMZ0LF5W,Respiratory,PERIODIC,1,3,3,2012-05-01,383810.57,0.38,1678,43958,8.7226,DYMISTA | DYMISTA NA
AZILSARTAN KAMEDOXOMIL,AZILSARTAN MEDOXOMIL | EDARBI,chemical,WEC6I2K1FC,Cardiovascular,CHRONIC,1,1,2,2011-02-25,3256463.61,3.26,10301,437882,7.9346,EDARBI | EDARBI 40 | EDARBI 40M | EDARBI 80 | EDARBI 80M
AZILSARTAN KAMEDOXOMIL; CHLORTHALIDONE,AZILSARTAN MEDOXOMIL AND CHLORTHALIDONE | EDARBYCLOR,chemical,WEC6I2K1FC | Q0MQD1073Q,Cardiovascular,CHRONIC,1,1,2,2011-12-20,3416657.91,3.42,11548,473128,7.8024,EDARBYCLOR
AZITHROMYCIN,AZASITE | AZITHROMYCIN | ZITHROMAX,concept,,Infectious,SHORT,5,41,47,1995-10-19,1718076.23,1.72,8438,53857,12.6295,AZASITE | AZASITE  A | AZASITE (A | AZASITE 1% | ZITHROMAX
AZTREONAM,AZACTAM | AZTREONAM | CAYSTON,chemical,G2B4VE5GH8,Other/Unclassified,OTHER,2,2,5,1986-12-31,68902370.32,68.90,8212,505575,,AZACTAM | AZACTAM 1 | AZACTAM 2 | AZTREONAM | CAYSTON
BACITRACIN ZINC; HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,"NEOMYCIN AND POLYMYXIN B SULFATES, BACITRACIN ZINC AND HYDROCORTISONE",mixture,89Y4M234ES | WI4X0X7BPJ | 057Y626693 | 19371312D4,Metabolic,CHRONIC,0,1,1,1995-10-30,10682255.56,10.68,559710,15866473,10.1372,BACITRACIN
BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,LUMI-SPORYN | NEOMYCIN AND POLYMYXIN B SULFATES AND BACITRACIN ZINC,mixture,89Y4M234ES | 057Y626693 | 19371312D4,Metabolic,CHRONIC,1,1,1,1995-10-30,,,,,,
BACITRACIN ZINC; POLYMYXIN B SULFATE,BACITRACIN ZINC AND POLYMYXIN B SULFATE,mixture,89Y4M234ES | 19371312D4,Metabolic,CHRONIC,0,1,1,1995-01-26,,,,,,
BACLOFEN,BACLOFEN | FLEQSUVY | GABLOFEN | LIORESAL | OZOBAX DS,chemical,H789N3FKE8,Neurology,CHRONIC,4,28,65,1988-07-21,151556756.66,151.56,4086591,318320677,1.8788,BACLOFEN | BACLOFEN 0 | BACLOFEN 1 | BACLOFEN 2 | BACLOFEN 4
BALOXAVIR MARBOXIL,XOFLUZA,chemical,505CXM6OHG,Infectious,SHORT,2,0,0,2018-10-24,2618800.95,2.62,16013,16147,157.1351,XOFLUZA | XOFLUZA 20 | XOFLUZA 40 | XOFLUZA 80
BALSALAZIDE DISODIUM,BALSALAZIDE DISODIUM | COLAZAL,chemical,1XL6BJI034,GI,CHRONIC,1,5,5,2000-07-18,,,,,0.3643,COLAZAL | COLAZAL  B | COLAZAL 75
BARICITINIB,OLUMIANT,chemical,ISP4442I3Y,Autoimmune,CHRONIC,1,1,3,2018-05-31,50192946.93,50.19,13313,479835,133.3567,OLUMIANT | OLUMIANT 1 | OLUMIANT 2 | OLUMIANT 4
BARIUM SULFATE,E-Z-DISK | E-Z-HD | E-Z-PAQUE | ENTERO VU 24% | LIQUID E-Z-PAQUE | READI-CAT 2 | READI-CAT 2 SMOOTHIE | TAGITOL V | VARIBAR HONEY | VARIBAR NECTAR | VARIBAR PUDDING | VARIBAR THIN HONEY | VARIBAR THIN LIQUID,chemical,25BB7EKE2E,Other/Unclassified,OTHER,4,0,0,2016-01-11,,,,,,
BAXDROSTAT,BAXFENDY,chemical,NF3P9Z8J5Y,Other/Unclassified,OTHER,1,0,0,2026-05-15,,,,,,
"BAZEDOXIFENE ACETATE; ESTROGENS, CONJUGATED",DUAVEE,mixture,J70472UD3D | IU5QR144QX,Metabolic,CHRONIC,1,0,0,2013-10-03,81763.86,0.08,295,12810,6.2923,DUAVEE | DUAVEE  CO | DUAVEE (CO | DUAVEE 0.4
