Drug,Brand,Disease / Indication,Category,Target,Revenue ($B),Dose,Frequency,Duration,_ing,_rev_val
Ixazomib Citrate,NINLARO,Multiple myeloma,Oncology,PSMD1,0.02,4MG BASE oral,Once or twice daily,Long-term (until progression / disease control),IXAZOMIB CITRATE,16.52
Labetalol Hydrochloride,LABETALOL HYDROCHLORIDE,Cardiovascular disease,Cardiovascular,ADRA1A,0.04,300MG/300ML (1MG/mL) IV,As directed,Indefinite (lifelong maintenance),LABETALOL HYDROCHLORIDE,37.82
Lacosamide,LACOSAMIDE,Neurological disorder,Neurology,SCN1A,0.26,200MG oral,Once or twice daily,Indefinite (lifelong maintenance),LACOSAMIDE,256.75
Lamivudine,EPIVIR,Infectious disease,Infectious,pol | P,0.00,300MG oral,Once or twice daily,Indefinite (lifelong maintenance),LAMIVUDINE,2.43
Lamivudine; Tenofovir Disoproxil Fumarate,CIMDUO,Infectious disease,Infectious,pol | P,0.00,300MG; 300MG oral,Once or twice daily,Indefinite (lifelong maintenance),LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE,0.11
Lamivudine; Zidovudine,LAMIVUDINE AND ZIDOVUDINE,Infectious disease,Infectious,pol | P,,150MG; 300MG oral,Once or twice daily,Indefinite (lifelong maintenance),LAMIVUDINE; ZIDOVUDINE,0.0
Lamotrigine,LAMICTAL,Psychiatric disorder,Psychiatric,SCN1A,0.22,200MG oral,Once or twice daily,Indefinite (lifelong maintenance),LAMOTRIGINE,216.46
Landiolol Hydrochloride,RAPIBLYK,Cardiovascular disease,Cardiovascular,ADRB1,,280MG BASE/VIAL IV,Once daily,Indefinite (lifelong maintenance),LANDIOLOL HYDROCHLORIDE,0.0
Lanreotide Acetate,LANREOTIDE ACETATE,Dyslipidemia; CV risk reduction,GI,SSTR5 | SSTR2,0.01,120MG BASE/0.5ML (120MG BASE/0.5ML) SC,Weekly or monthly,Indefinite (lifelong maintenance),LANREOTIDE ACETATE,8.74
Lansoprazole,LANSOPRAZOLE,GI disorder,GI,ATP4A,0.02,30MG oral,Once daily,Indefinite (lifelong maintenance),LANSOPRAZOLE,16.83
Lanthanum Carbonate,FOSRENOL,Hypertension; Heart failure; Diabetic nephropathy,Metabolic,Phosphate sequestering agent,0.01,750MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),LANTHANUM CARBONATE,12.54
Lapatinib Ditosylate,LAPATINIB DITOSYLATE,Non-small cell lung cancer (EGFR+),Oncology,ERBB2 | EGFR,0.00,250MG BASE oral,Once or twice daily,Long-term (until progression / disease control),LAPATINIB DITOSYLATE,3.15
Larotrectinib Sulfate,VITRAKVI,Cancer,Oncology,NTRK1,0.02,20MG BASE/mL oral,Once or twice daily,Long-term (until progression / disease control),LAROTRECTINIB SULFATE,17.13
Latanoprost,IYUZEH,Glaucoma; Ocular hypertension,Ophthalmology,PTGFR,0.00,0.005% ophthalmic,Once daily,Indefinite (lifelong maintenance),LATANOPROST,0.38
Latanoprost; Netarsudil Dimesylate,ROCKLATAN,Glaucoma; Ocular hypertension,Ophthalmology,PTGFR | ROCK2,0.02,0.005%; 0.02% BASE ophthalmic,Once daily,Indefinite (lifelong maintenance),LATANOPROST; NETARSUDIL DIMESYLATE,18.26
Latanoprostene Bunod,LATANOPROSTENE BUNOD,Glaucoma; Ocular hypertension,Ophthalmology,PTGFR,0.01,0.024% ophthalmic,Once daily,Indefinite (lifelong maintenance),LATANOPROSTENE BUNOD,9.86
Lazertinib Mesylate,LAZCLUZE,Non-small cell lung cancer (EGFR+),Oncology,EGFR,,240MG BASE oral,Once or twice daily,Long-term (until progression / disease control),LAZERTINIB MESYLATE,0.0
Leflunomide,ARAVA,Rheumatoid arthritis; Psoriatic arthritis,Autoimmune,DHODH,0.00,100MG oral,Once or twice daily,Indefinite (lifelong maintenance),LEFLUNOMIDE,0.03
Lenacapavir Sodium,SUNLENCA,HIV infection (long-acting),Infectious,gag,0.01,300MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),LENACAPAVIR SODIUM,6.35
Lenalidomide,LENALIDOMIDE,Cancer,Oncology,CRBN,0.51,25MG oral,Once or twice daily,Long-term (until progression / disease control),LENALIDOMIDE,508.33
Leniolisib Phosphate,JOENJA,Cancer,Oncology,PIK3CD,0.01,70MG BASE oral,Once or twice daily,Long-term (until progression / disease control),LENIOLISIB PHOSPHATE,9.55
Lenvatinib Mesylate,LENVIMA,Cancer,Oncology,FLT1,0.22,10MG BASE oral,Once or twice daily,Long-term (until progression / disease control),LENVATINIB MESYLATE,217.23
Letermovir,PREVYMIS,Infectious disease,Infectious,TRM1,0.05,480MG oral,Once or twice daily,Indefinite (lifelong maintenance),LETERMOVIR,46.15
Letrozole,FEMARA,"Breast cancer (HR+, post-menopausal)",Oncology,CYP19A1,0.00,2.5MG oral,Once or twice daily,Long-term (until progression / disease control),LETROZOLE,4.06
Letrozole; Ribociclib Succinate,KISQALI FEMARA CO-PACK (COPACKAGED),Breast cancer (HR+/HER2-),Oncology,CYP19A1 | CDK4 | CDK6,,2.5MG; 200MG BASE oral,Once or twice daily,Long-term (until progression / disease control),LETROZOLE; RIBOCICLIB SUCCINATE,0.0
Leuprolide Acetate,ELIGARD KIT,Prostate / Breast cancer; Endometriosis,Oncology,GNRHR,0.00,45MG SC,Once daily,Long-term (until progression / disease control),LEUPROLIDE ACETATE,0.13
Leuprolide Mesylate,CAMCEVI ETM,Prostate / Breast cancer; Endometriosis,Oncology,GNRHR,,42MG BASE SC,As directed,Long-term (until progression / disease control),LEUPROLIDE MESYLATE,0.0
Levalbuterol Hydrochloride,LEVALBUTEROL HYDROCHLORIDE,Asthma; COPD,Respiratory,ADRB2,,0.021% BASE inh,As directed,Indefinite (lifelong maintenance),LEVALBUTEROL HYDROCHLORIDE,0.0
Levalbuterol Tartrate,XOPENEX HFA,Asthma; COPD,Respiratory,ADRB2,,0.045MG BASE//inh inh,Twice daily,Indefinite (lifelong maintenance),LEVALBUTEROL TARTRATE,0.0
Levetiracetam,KEPPRA,Hypertension; Angina,Neurology,SV2A | CACNA1B,0.13,750MG oral,Once or twice daily,Indefinite (lifelong maintenance),LEVETIRACETAM,125.31
Levobunolol Hydrochloride,BETAGAN,Asthma; COPD,Cardiovascular,ADRB1 | ADRB2,,0.5% ophthalmic,Once daily,Indefinite (lifelong maintenance),LEVOBUNOLOL HYDROCHLORIDE,0.0
Levodopa,INBRIJA,Parkinson's disease,Neurology,DRD3,0.00,42MG inh,Once daily,Indefinite (lifelong maintenance),LEVODOPA,1.28
Levomilnacipran Hydrochloride,FETZIMA,Psychiatric disorder,Psychiatric,SLC6A4 | SLC6A2,0.03,120MG BASE oral,Once daily,Indefinite (lifelong maintenance),LEVOMILNACIPRAN HYDROCHLORIDE,27.41
Levonorgestrel,ATHENTIA NEXT,Metabolic disorder,Metabolic,PGR,0.41,1.5MG oral,Once or twice daily,Indefinite (lifelong maintenance),LEVONORGESTREL,405.11
Levothyroxine Sodium,ERMEZA,Hypothyroidism,Metabolic,THRA,0.12,"0.3MG **See current Annual Edition, 1.8 Description of Speci oral",Once or twice daily,Indefinite (lifelong maintenance),LEVOTHYROXINE SODIUM,118.77
Linaclotide,LINZESS,IBS-C; Chronic idiopathic constipation,GI,GUCY2C,0.80,290MCG oral,Once or twice daily,Indefinite (lifelong maintenance),LINACLOTIDE,799.02
Linagliptin,LINAGLIPTIN,Type 2 diabetes,Metabolic,DPP4,0.32,5MG oral,Once or twice daily,Indefinite (lifelong maintenance),LINAGLIPTIN,318.3
Linagliptin; Metformin Hydrochloride,JENTADUETO,Type 2 diabetes,Metabolic,DPP4 | MT-ND6 | GPD2,0.09,2.5MG; 850MG oral,Once or twice daily,Indefinite (lifelong maintenance),LINAGLIPTIN; METFORMIN HYDROCHLORIDE,92.04
Liothyronine Sodium,CYTOMEL,Hypothyroidism,Metabolic,THRA,0.00,0.05MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),LIOTHYRONINE SODIUM,0.59
Liraglutide,LIRAGLUTIDE,Type 2 diabetes; Obesity; CV risk reduction,Metabolic,GLP1R,1.42,18MG/3ML (6MG/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance),LIRAGLUTIDE,1418.08
Lisdexamfetamine Dimesylate,ARYNTA,Psychiatric disorder,Psychiatric,SLC6A3 | SLC6A2 | SLC18A2,2.76,60MG oral,Once or twice daily,Indefinite (lifelong maintenance),LISDEXAMFETAMINE DIMESYLATE,2760.31
Lisinopril,LISINOPRIL,Hypertension; Heart failure; CKD,Cardiovascular,ACE,0.20,40MG oral,Once or twice daily,Indefinite (lifelong maintenance),LISINOPRIL,195.01
Lithium Carbonate,LITHIUM CARBONATE,Hypertension; Heart failure; Diabetic nephropathy,Psychiatric,IMPA1 | GSK3A,0.03,300MG oral,Once or twice daily,Indefinite (lifelong maintenance),LITHIUM CARBONATE,34.41
Lithium Citrate,LITHIUM CITRATE,Bipolar disorder,Psychiatric,IMPA1 | GSK3A,,300MG CARBONATE/5ML oral,Once or twice daily,Indefinite (lifelong maintenance),LITHIUM CITRATE,0.0
Lomustine,GLEOSTINE,Cancer,Oncology,DNA inhibitor,,100MG oral,Once or twice daily,Long-term (until progression / disease control),LOMUSTINE,0.0
Lopinavir; Ritonavir,KALETRA,Infectious disease,Infectious,pol | CYP3A4,0.00,200MG; 50MG oral,Once or twice daily,Indefinite (lifelong maintenance),LOPINAVIR; RITONAVIR,0.18
Lorlatinib,LORBRENA,Non-small cell lung cancer (ALK+),Oncology,ALK | ALK,0.03,100MG oral,Once or twice daily,Long-term (until progression / disease control),LORLATINIB,34.95
Losartan Potassium,ARBLI,Cardiovascular disease,Cardiovascular,AGTR1,0.16,100MG oral,Once or twice daily,Indefinite (lifelong maintenance),LOSARTAN POTASSIUM,158.79
Lovastatin,LOVASTATIN,Dyslipidemia; CV risk reduction,Metabolic,HMGCR,0.01,10MG oral,Once or twice daily,Indefinite (lifelong maintenance),LOVASTATIN,5.0
Loxapine,ADASUVE,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,HTR2A | HTR2C | DRD2,0.00,10MG inh,Once daily,Indefinite (lifelong maintenance),LOXAPINE,3.24
Loxapine Succinate,LOXAPINE SUCCINATE,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,HTR2A | HTR2C | DRD2,,5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),LOXAPINE SUCCINATE,0.0
Lubiprostone,AMITIZA,GI disorder,GI,CLCN2,0.04,24MCG oral,Once or twice daily,Indefinite (lifelong maintenance),LUBIPROSTONE,44.77
Lurasidone Hydrochloride,LATUDA,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,HTR2A | DRD2,1.26,120MG oral,Once or twice daily,Indefinite (lifelong maintenance),LURASIDONE HYDROCHLORIDE,1263.8
Macitentan,MACITENTAN,Cardiovascular disease,Cardiovascular,EDNRB,0.39,10MG oral,Once or twice daily,Indefinite (lifelong maintenance),MACITENTAN,387.71
Macitentan; Tadalafil,OPSYNVI,Cardiovascular disease,Cardiovascular,EDNRB | PDE5A,,10MG; 40MG oral,Once or twice daily,Indefinite (lifelong maintenance),MACITENTAN; TADALAFIL,0.0
"Magnesium Chloride; Potassium Chloride; Potassium Phosphate, Monobasic; Sodium Acetate; Sodium Chloride; Sodium Gluconate; Sodium Phosphate, Dibasic, Heptahydrate",ISOLYTE S PH 7.4 IN PLASTIC CONTAINER,Metabolic disorder,Metabolic,Supplement,0.11,30MG/100ML; 37MG/100ML …,As directed,Indefinite (lifelong maintenance),"MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE",107.34
Magnesium Chloride; Potassium Chloride; Sodium Acetate; Sodium Chloride; Sodium Gluconate,ISOLYTE S IN PLASTIC CONTAINER,Metabolic disorder,Metabolic,Supplement,,30MG/100ML; 37MG/100ML …,As directed,Indefinite (lifelong maintenance),MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE,0.0
Magnesium Chloride; Sodium Bicarbonate; Sodium Chloride,NORMOCARB HF 25,Hypertension; Heart failure; Diabetic nephropathy,Metabolic,,,0.21GM/100ML; 3.97GM/100ML …,As directed,Indefinite (lifelong maintenance),MAGNESIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE,0.0
Maraviroc,MARAVIROC,Infectious disease,Infectious,CCR5,0.01,300MG oral,Once or twice daily,Indefinite (lifelong maintenance),MARAVIROC,7.87
Medroxyprogesterone Acetate,DEPO-PROVERA,Metabolic disorder,Metabolic,PGR,0.00,10MG oral,Once or twice daily,Indefinite (lifelong maintenance),MEDROXYPROGESTERONE ACETATE,0.03
Memantine Hydrochloride,MEMANTINE HYDROCHLORIDE,Alzheimer's disease,Neurology,GRIN1,0.01,7MG oral,Once daily,Indefinite (lifelong maintenance),MEMANTINE HYDROCHLORIDE,8.62
Mercaptopurine,MERCAPTOPURINE,Autoimmune disease,Autoimmune,PPAT,0.01,50MG oral,Once or twice daily,Indefinite (lifelong maintenance),MERCAPTOPURINE,11.41
Mesalamine,APRISO,Inflammatory bowel disease (UC/CD),GI,ALOX5 | PPARG | PTGS2,0.24,1.2GM oral,Once daily,Indefinite (lifelong maintenance),MESALAMINE,240.18
Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,Type 2 diabetes,Metabolic,MT-ND6 | GPD2,0.24,500MG/5ML oral,Once or twice daily,Indefinite (lifelong maintenance),METFORMIN HYDROCHLORIDE,238.33
Metformin Hydrochloride; Pioglitazone Hydrochloride,ACTOPLUS MET,Type 2 diabetes,Metabolic,MT-ND6 | GPD2 | PPARG,,850MG; 15MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),METFORMIN HYDROCHLORIDE; PIOGLITAZONE HYDROCHLORIDE,0.0
Metformin Hydrochloride; Saxagliptin Hydrochloride,SAXAGLIPTIN AND METFORMIN HYDROCHLORIDE,Type 2 diabetes,Metabolic,MT-ND6 | GPD2 | DPP4,,500MG; 5MG BASE oral,Once daily,Indefinite (lifelong maintenance),METFORMIN HYDROCHLORIDE; SAXAGLIPTIN HYDROCHLORIDE,0.0
Metformin Hydrochloride; Sitagliptin,ZITUVIMET,Type 2 diabetes,Metabolic,MT-ND6 | GPD2,,500MG; 50MG oral,Once or twice daily,Indefinite (lifelong maintenance),METFORMIN HYDROCHLORIDE; SITAGLIPTIN,0.0
Metformin Hydrochloride; Sitagliptin Phosphate,JANUMET,Type 2 diabetes,Metabolic,MT-ND6 | GPD2 | DPP4,0.36,500MG; 50MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),METFORMIN HYDROCHLORIDE; SITAGLIPTIN PHOSPHATE,355.24
Methadone Hydrochloride,METHADONE HYDROCHLORIDE,Chronic pain; Cancer pain,Pain,OPRM1,0.07,40MG oral,Once or twice daily,Indefinite (lifelong maintenance),METHADONE HYDROCHLORIDE,65.53
Methazolamide,METHAZOLAMIDE,Hypertension; Heart failure; Diabetic nephropathy,Ophthalmology,CA7 | CA1 | CA2 | CA4,,25MG oral,Once or twice daily,Indefinite (lifelong maintenance),METHAZOLAMIDE,0.0
Methimazole,METHIMAZOLE,Hyperthyroidism,Metabolic,TPO,,5MG oral,Once or twice daily,Indefinite (lifelong maintenance),METHIMAZOLE,0.0
Methotrexate,JYLAMVO,RA; Psoriasis; Cancer,Autoimmune,DHFR,0.01,30MG/0.6ML (30MG/0.6ML) SC,Weekly or monthly,Indefinite (lifelong maintenance),METHOTREXATE,14.7
Methotrexate Sodium,METHOTREXATE SODIUM,RA; Psoriasis; Cancer,Autoimmune,DHFR,0.01,2.5MG BASE/mL oral,Once or twice daily,Indefinite (lifelong maintenance),METHOTREXATE SODIUM,8.01
Methsuximide,CELONTIN,Hypertension; Angina,Neurology,CACNA1H,0.00,300MG oral,Once or twice daily,Indefinite (lifelong maintenance),METHSUXIMIDE,0.51
Methyldopa,METHYLDOPA,Cardiovascular disease,Cardiovascular,ADRA2A,0.00,250MG oral,Once or twice daily,Indefinite (lifelong maintenance),METHYLDOPA,0.35
Methylnaltrexone Bromide,RELISTOR,Opioid use disorder; Alcohol use disorder,Pain,OPRM1,0.09,150MG oral,Once or twice daily,Indefinite (lifelong maintenance),METHYLNALTREXONE BROMIDE,88.69
Methylphenidate,COTEMPLA XR-ODT,ADHD; Narcolepsy,Psychiatric,SLC6A3 | SLC6A2,0.02,25.9MG oral,Once daily,Indefinite (lifelong maintenance),METHYLPHENIDATE,21.29
Methylphenidate Hydrochloride,APTENSIO XR,ADHD; Narcolepsy,Psychiatric,SLC6A3 | SLC6A2,1.37,20MG oral,Once or twice daily,Indefinite (lifelong maintenance),METHYLPHENIDATE HYDROCHLORIDE,1366.52
Methyltestosterone,METHYLTESTOSTERONE,Metabolic disorder,Metabolic,AR,,10MG oral,Once or twice daily,Indefinite (lifelong maintenance),METHYLTESTOSTERONE,0.0
Metolazone,METOLAZONE,Cardiovascular disease,Cardiovascular,SLC12A3,0.00,2.5MG oral,Once or twice daily,Indefinite (lifelong maintenance),METOLAZONE,3.83
Metoprolol Succinate,KAPSPARGO SPRINKLE,Cardiovascular disease,Cardiovascular,ADRB1,0.15,200MG TARTRATE oral,Once daily,Indefinite (lifelong maintenance),METOPROLOL SUCCINATE,154.27
Metoprolol Tartrate,LOPRESSOR,Cardiovascular disease,Cardiovascular,ADRB1,,12.5MG oral,Once or twice daily,Indefinite (lifelong maintenance),METOPROLOL TARTRATE,0.0
Mexiletine Hydrochloride,MEXILETINE HYDROCHLORIDE,Cardiovascular disease,Cardiovascular,SCN1A,0.00,150MG oral,Once or twice daily,Indefinite (lifelong maintenance),MEXILETINE HYDROCHLORIDE,2.32
Midodrine Hydrochloride,MIDODRINE HYDROCHLORIDE,Cardiovascular disease,Cardiovascular,ADRA1A,0.02,2.5MG oral,Once or twice daily,Indefinite (lifelong maintenance),MIDODRINE HYDROCHLORIDE,18.91
Midostaurin,MIDOSTAURIN,Cancer,Oncology,FLT3 | KIT | PDGFRB | PRKD3 | KDR,0.01,25MG oral,Once or twice daily,Long-term (until progression / disease control),MIDOSTAURIN,12.04
Miglitol,MIGLITOL,Type 2 diabetes,Metabolic,MGAM | GAA,0.00,25MG oral,Once or twice daily,Indefinite (lifelong maintenance),MIGLITOL,0.07
Milnacipran Hydrochloride,MILNACIPRAN HYDROCHLORIDE,Psychiatric disorder,Psychiatric,SLC6A4 | SLC6A2,0.03,100MG oral,Once or twice daily,Indefinite (lifelong maintenance),MILNACIPRAN HYDROCHLORIDE,33.42
Milsaperidone,BYSANTI,Psychiatric disorder,Psychiatric,,,12MG oral,Once or twice daily,Indefinite (lifelong maintenance),MILSAPERIDONE,0.0
Minoxidil,MEN'S ROGAINE,Type 2 diabetes,Cardiovascular,KCNJ11,0.00,5% topical,As directed,Indefinite (lifelong maintenance),MINOXIDIL,2.7
Mirabegron,MIRABEGRON,Overactive bladder,Neurology,ADRB3,0.24,50MG oral,Once daily,Indefinite (lifelong maintenance),MIRABEGRON,236.24
Mirdametinib,GOMEKLI,Cancer,Oncology,,,1MG oral,Once or twice daily,Long-term (until progression / disease control),MIRDAMETINIB,0.0
Mirtazapine,MIRTAZAPINE,Migraine (acute),Psychiatric,HTR2A | HTR2C | ADRA2A,0.00,30MG oral,Once or twice daily,Indefinite (lifelong maintenance),MIRTAZAPINE,0.04
Mitoxantrone Hydrochloride,MITOXANTRONE HYDROCHLORIDE,Neurological disorder,Neurology,TOP2A,,20MG BASE/10ML (2MG BASE/mL),As directed,Long-term (until progression / disease control),MITOXANTRONE HYDROCHLORIDE,0.0
Modafinil,MODAFINIL,ADHD; Narcolepsy,Psychiatric,SLC6A3,0.02,200MG oral,Once or twice daily,Indefinite (lifelong maintenance),MODAFINIL,23.46
Moexipril Hydrochloride,MOEXIPRIL HYDROCHLORIDE,Hypertension; Heart failure; CKD,Cardiovascular,ACE,0.00,7.5MG oral,Once or twice daily,Indefinite (lifelong maintenance),MOEXIPRIL HYDROCHLORIDE,0.02
Molindone Hydrochloride,MOLINDONE HYDROCHLORIDE,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,DRD2 | HTR2A,0.00,5MG oral,Once or twice daily,Indefinite (lifelong maintenance),MOLINDONE HYDROCHLORIDE,0.33
Momelotinib Dihydrochloride,OJJAARA,Cancer,Oncology,,0.00,200MG BASE oral,Once or twice daily,Long-term (until progression / disease control),MOMELOTINIB DIHYDROCHLORIDE,0.32
Mometasone Furoate,ASMANEX HFA,Respiratory disease,Respiratory,NR3C1,0.03,0.05MG/SPRAY nasal,Once daily,Indefinite (lifelong maintenance),MOMETASONE FUROATE,29.49
Mometasone Furoate; Olopatadine Hydrochloride,RYALTRIS,Allergic rhinitis; Urticaria,Respiratory,NR3C1 | HRH1,0.00,0.025MG/SPRAY; 0.665MG/SPRAY nasal,Once daily,Indefinite (lifelong maintenance),MOMETASONE FUROATE; OLOPATADINE HYDROCHLORIDE,1.17
Montelukast Sodium,MONTELUKAST SODIUM,Asthma; Allergic rhinitis,Respiratory,CYSLTR1,0.00,10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),MONTELUKAST SODIUM,0.91
Morphine Sulfate,DURAMORPH PF,Chronic pain; Cancer pain,Pain,OPRM1,0.19,30MG oral,Once or twice daily,Indefinite (lifelong maintenance),MORPHINE SULFATE,193.36
Mycophenolate Mofetil,CELLCEPT,Transplant rejection; Autoimmune,Autoimmune,IMPDH1,,500MG oral,Once or twice daily,Indefinite (lifelong maintenance),MYCOPHENOLATE MOFETIL,0.0
Mycophenolate Mofetil Hydrochloride,CELLCEPT,Transplant rejection; Autoimmune,Autoimmune,IMPDH1,0.02,500MG/VIAL,As directed,Indefinite (lifelong maintenance),MYCOPHENOLATE MOFETIL HYDROCHLORIDE,17.46
Mycophenolate Sodium,MYCOPHENOLATE SODIUM,Transplant rejection; Autoimmune,Autoimmune,IMPDH1,0.00,360MG BASE oral,Once daily,Indefinite (lifelong maintenance),MYCOPHENOLATE SODIUM,4.46
Nadolol,NADOLOL,Asthma; COPD,Cardiovascular,ADRB1 | ADRB2,0.00,20MG oral,Once or twice daily,Indefinite (lifelong maintenance),NADOLOL,4.33
Naltrexone,VIVITROL,Opioid use disorder; Alcohol use disorder,Pain,OPRK1,0.71,380MG/VIAL,Once daily,Indefinite (lifelong maintenance),NALTREXONE,712.86
Naltrexone Hydrochloride,NALTREXONE HYDROCHLORIDE,Opioid use disorder; Alcohol use disorder,Pain,OPRK1,,50MG oral,Once or twice daily,Indefinite (lifelong maintenance),NALTREXONE HYDROCHLORIDE,0.0
Nateglinide,NATEGLINIDE,Type 2 diabetes,Metabolic,KCNJ11,,60MG oral,Once or twice daily,Indefinite (lifelong maintenance),NATEGLINIDE,0.0
Nebivolol Hydrochloride,BYSTOLIC,Asthma; COPD,Cardiovascular,ADRB1 | ADRB2,0.01,20MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),NEBIVOLOL HYDROCHLORIDE,12.77
Nebivolol Hydrochloride; Valsartan,VYDUO,Asthma; COPD,Cardiovascular,ADRB1 | ADRB2 | AGTR1,,5MG BASE; 80MG oral,Once or twice daily,Indefinite (lifelong maintenance),NEBIVOLOL HYDROCHLORIDE; VALSARTAN,0.0
Nefazodone Hydrochloride,NEFAZODONE HYDROCHLORIDE,Migraine (acute),Psychiatric,SLC6A4 | HTR2A | HTR2C | SLC6A2,0.00,50MG oral,Once or twice daily,Indefinite (lifelong maintenance),NEFAZODONE HYDROCHLORIDE,0.17
Nelarabine,ARRANON,Cancer,Oncology,DNA inhibitor,0.00,250MG/50ML (5MG/mL) IV,As directed,Long-term (until progression / disease control),NELARABINE,3.08
Nelfinavir Mesylate,VIRACEPT,Infectious disease,Infectious,pol,0.00,625MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),NELFINAVIR MESYLATE,0.2
Neratinib Maleate,NERLYNX,Non-small cell lung cancer (EGFR+),Oncology,ERBB2 | EGFR | ERBB4,0.05,40MG BASE oral,Once or twice daily,Long-term (until progression / disease control),NERATINIB MALEATE,52.17
Netarsudil Mesylate,RHOPRESSA,Glaucoma,Ophthalmology,ROCK2,0.02,0.02% BASE ophthalmic,Once daily,Indefinite (lifelong maintenance),NETARSUDIL MESYLATE,20.63
Nevirapine,NEVIRAPINE,Psychiatric disorder,Psychiatric,pol,0.00,50MG/5ML oral,Once or twice daily,Indefinite (lifelong maintenance),NEVIRAPINE,0.6
Niacin,NIACIN,Metabolic disorder,Metabolic,,0.00,1GM oral,Once daily,Indefinite (lifelong maintenance),NIACIN,0.92
Nicardipine Hydrochloride,CARDENE,Hypertension; Angina,Cardiovascular,CACNA1C,0.00,40MG/200ML (0.2MG/mL) IV,As directed,Indefinite (lifelong maintenance),NICARDIPINE HYDROCHLORIDE,0.41
Nifedipine,NIFEDIPINE,Hypertension; Angina,Cardiovascular,CACNA1C,0.04,60MG oral,Once daily,Indefinite (lifelong maintenance),NIFEDIPINE,39.12
Nilotinib,CAVHANZA,Cancer,Oncology,,,80MG oral,Once daily,Long-term (until progression / disease control),NILOTINIB,0.0
Nilotinib D-tartrate,NILOTINIB D-TARTRATE,Cancer,Oncology,,,200MG BASE oral,Once or twice daily,Long-term (until progression / disease control),NILOTINIB D-TARTRATE,0.0
Nilotinib Hydrochloride,NILOTINIB HYDROCHLORIDE,Chronic myeloid leukaemia (CML),Oncology,ABL1 | ABL1,0.18,200MG BASE oral,Once or twice daily,Long-term (until progression / disease control),NILOTINIB HYDROCHLORIDE,180.38
Nilotinib Tartrate,DANZITEN,Cancer,Oncology,,,95MG BASE oral,Once or twice daily,Long-term (until progression / disease control),NILOTINIB TARTRATE,0.0
Nilutamide,NILUTAMIDE,Prostate cancer (mCRPC),Oncology,AR,,150MG oral,Once or twice daily,Long-term (until progression / disease control),NILUTAMIDE,0.0
Nimodipine,NIMODIPINE,Hypertension; Angina,Cardiovascular,NR3C2 | CACNA1C,0.00,6MG/mL oral,Once or twice daily,Indefinite (lifelong maintenance),NIMODIPINE,0.29
Niraparib Tosylate,ZEJULA,Cancer,Oncology,PARP2 | PARP1,0.06,300MG BASE oral,Once or twice daily,Long-term (until progression / disease control),NIRAPARIB TOSYLATE,56.49
Nirmatrelvir; Ritonavir,PAXLOVID (COPACKAGED),Infectious disease,Infectious,pol | CYP3A4,,150MG; 100MG oral,Once or twice daily,Indefinite (lifelong maintenance),NIRMATRELVIR; RITONAVIR,0.0
Nisoldipine,NISOLDIPINE,Hypertension; Angina,Cardiovascular,CACNA1C,,34MG oral,Once daily,Indefinite (lifelong maintenance),NISOLDIPINE,0.0
Nitisinone,HARLIKU,Metabolic disorder,Metabolic,HPD,0.05,10MG oral,Once or twice daily,Indefinite (lifelong maintenance),NITISINONE,48.62
Nizatidine,AXID AR,GERD; Peptic ulcer disease,GI,HRH2,0.00,75MG oral,Once or twice daily,Indefinite (lifelong maintenance),NIZATIDINE,0.45
Norethindrone,CAMILA,Metabolic disorder,Metabolic,PGR,0.01,0.35MG oral,Once or twice daily,Indefinite (lifelong maintenance),NORETHINDRONE,7.33
Norethindrone Acetate,NORETHINDRONE ACETATE,Metabolic disorder,Metabolic,PGR,,5MG oral,Once or twice daily,Indefinite (lifelong maintenance),NORETHINDRONE ACETATE,0.0
Norgestrel,OPILL,Metabolic disorder,Metabolic,PGR,,0.075MG oral,Once or twice daily,Indefinite (lifelong maintenance),NORGESTREL,0.0
