Drug,Brand,Disease / Indication,Category,Drug Modality,Target,Revenue ($B),Dose,Frequency,Duration
Magnesium Chloride; Sodium Bicarbonate; Sodium Chloride,NORMOCARB HF 25,GERD,Endocrinology – Metabolic,chemical,,,0.21GM/100ML; 3.97GM/100ML …,As directed,Indefinite (lifelong maintenance)
Maraviroc,MARAVIROC,HIV infection,Infectious – HIV,chemical,CCR5,0.01,300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Medroxyprogesterone Acetate,DEPO-PROVERA,Metabolic disorder,Endocrinology – Metabolic,chemical,PGR,0.00,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Memantine Hydrochloride,MEMANTINE HYDROCHLORIDE,Alzheimer's disease / dementia,Neurology – Neurodegeneration,chemical,GRIN1,0.01,7MG oral,Once daily,Indefinite (lifelong maintenance)
Mercaptopurine,MERCAPTOPURINE,Acute lymphoblastic leukemia,Autoimmune – Rheumatology,chemical,PPAT,0.01,50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Mesalamine,APRISO,Ulcerative colitis,Autoimmune – Gastroenterology,chemical,ALOX5 | PPARG | PTGS2,0.24,1.2GM oral,Once daily,Indefinite (lifelong maintenance)
Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,MT-ND6 | GPD2,0.24,500MG/5ML oral,Once or twice daily,Indefinite (lifelong maintenance)
Metformin Hydrochloride; Pioglitazone Hydrochloride,ACTOPLUS MET,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,MT-ND6 | GPD2 | PPARG,,850MG; 15MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Metformin Hydrochloride; Saxagliptin Hydrochloride,SAXAGLIPTIN AND METFORMIN HYDROCHLORIDE,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,MT-ND6 | GPD2 | DPP4,,500MG; 5MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Metformin Hydrochloride; Sitagliptin,ZITUVIMET,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,MT-ND6 | GPD2,,500MG; 50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Metformin Hydrochloride; Sitagliptin Phosphate,JANUMET,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,MT-ND6 | GPD2 | DPP4,0.36,500MG; 50MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Methadone Hydrochloride,METHADONE HYDROCHLORIDE,Chronic pain; Cancer pain,Pain – Chronic,chemical,OPRM1,0.07,40MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Methazolamide,METHAZOLAMIDE,Glaucoma / ocular hypertension,Ophthalmology,chemical,CA7 | CA1 | CA2 | CA4,,25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Methimazole,METHIMAZOLE,Hyperthyroidism,Endocrinology – Thyroid,chemical,TPO,,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Methotrexate,JYLAMVO,Acute lymphoblastic leukemia; Lymphoma; Rheumatoid arthritis,Autoimmune – Rheumatology,chemical,DHFR,0.01,30MG/0.6ML (30MG/0.6ML) SC,Weekly or monthly,Indefinite (lifelong maintenance)
Methotrexate Sodium,METHOTREXATE SODIUM,Acute lymphoblastic leukemia; Lymphoma; Rheumatoid arthritis,Autoimmune – Rheumatology,chemical,DHFR,0.01,2.5MG BASE/mL oral,Once or twice daily,Indefinite (lifelong maintenance)
Methsuximide,CELONTIN,Epilepsy / seizures,Neurology – Epilepsy,chemical,CACNA1H,0.00,300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Methyldopa,METHYLDOPA,Hypertension,Cardiovascular – Hypertension,chemical,ADRA2A,0.00,250MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Methylnaltrexone Bromide,RELISTOR,Chronic constipation; Chronic pain,Pain – Chronic,chemical,OPRM1,0.09,150MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Methylphenidate,COTEMPLA XR-ODT,ADHD,Psychiatry – ADHD / Wakefulness,chemical,SLC6A3 | SLC6A2,0.02,25.9MG oral,Once daily,Indefinite (lifelong maintenance)
Methylphenidate Hydrochloride,APTENSIO XR,ADHD,Psychiatry – ADHD / Wakefulness,chemical,SLC6A3 | SLC6A2,1.37,20MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Methyltestosterone,METHYLTESTOSTERONE,Major depressive disorder; Menopausal / hormone therapy,Endocrinology – Reproductive,chemical,AR,,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Metolazone,METOLAZONE,Heart failure; Hypertension,Cardiovascular – Heart Failure,chemical,SLC12A3,0.00,2.5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Metoprolol Succinate,KAPSPARGO SPRINKLE,Hypertension,Cardiovascular – Hypertension,chemical,ADRB1,0.15,200MG TARTRATE oral,Once daily,Indefinite (lifelong maintenance)
Metoprolol Tartrate,LOPRESSOR,Hypertension,Cardiovascular – Hypertension,chemical,ADRB1,,12.5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Mexiletine Hydrochloride,MEXILETINE HYDROCHLORIDE,Cardiac arrhythmia,Cardiovascular – Arrhythmia,chemical,SCN1A,0.00,150MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Midodrine Hydrochloride,MIDODRINE HYDROCHLORIDE,Hypertension,Cardiovascular – Hypertension,chemical,ADRA1A,0.02,2.5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Midostaurin,MIDOSTAURIN,Acute myeloid leukemia,Oncology – Hematologic,chemical,FLT3 | KIT | PDGFRB | PRKD3 | KDR,0.01,25MG oral,Once or twice daily,Long-term (until progression / disease control)
Miglitol,MIGLITOL,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,MGAM | GAA,0.00,25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Milnacipran Hydrochloride,MILNACIPRAN HYDROCHLORIDE,Neuropathic pain / fibromyalgia,Psychiatry – Other,chemical,SLC6A4 | SLC6A2,0.03,100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Milsaperidone,BYSANTI,Schizophrenia; Bipolar disorder,Psychiatry – Psychotic,chemical,,,12MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Minoxidil,MEN'S ROGAINE,Type 2 diabetes,Cardiovascular – Other,chemical,KCNJ11,0.00,5% topical,As directed,Indefinite (lifelong maintenance)
Mirabegron,MIRABEGRON,Overactive bladder,Urology – Bladder,chemical,ADRB3,0.24,50MG oral,Once daily,Indefinite (lifelong maintenance)
Mirdametinib,GOMEKLI,Cancer,Oncology – Solid Tumor,chemical,,,1MG oral,Once or twice daily,Long-term (until progression / disease control)
Mirtazapine,MIRTAZAPINE,Major depressive disorder,Psychiatry – Mood,chemical,HTR2A | HTR2C | ADRA2A,0.00,30MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Mitoxantrone Hydrochloride,MITOXANTRONE HYDROCHLORIDE,Multiple sclerosis,Neurology – Demyelinating,chemical,TOP2A,,20MG BASE/10ML (2MG BASE/mL),As directed,Long-term (until progression / disease control)
Modafinil,MODAFINIL,Narcolepsy / EDS,Psychiatry – ADHD / Wakefulness,chemical,SLC6A3,0.02,200MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Moexipril Hydrochloride,MOEXIPRIL HYDROCHLORIDE,Hypertension; Chronic kidney disease,Cardiovascular – Hypertension,chemical,ACE,0.00,7.5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Molindone Hydrochloride,MOLINDONE HYDROCHLORIDE,Schizophrenia,Psychiatry – Psychotic,chemical,DRD2 | HTR2A,0.00,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Momelotinib Dihydrochloride,OJJAARA,Myelofibrosis; Anemia,Oncology – Hematologic,chemical,,0.00,200MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Mometasone Furoate,ASMANEX HFA,Respiratory disease,Respiratory – Other,chemical,NR3C1,0.03,0.05MG/SPRAY nasal,Once daily,Indefinite (lifelong maintenance)
Mometasone Furoate; Olopatadine Hydrochloride,RYALTRIS,Allergic rhinitis,Respiratory – Allergy,chemical,NR3C1 | HRH1,0.00,0.025MG/SPRAY; 0.665MG/SPRAY nasal,Once daily,Indefinite (lifelong maintenance)
Montelukast Sodium,MONTELUKAST SODIUM,Asthma; Allergic rhinitis; Bronchospasm,Respiratory – Obstructive,chemical,CYSLTR1,0.00,10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Morphine Sulfate,DURAMORPH PF,Chronic pain,Pain – Chronic,chemical,OPRM1,0.19,30MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Mycophenolate Mofetil,CELLCEPT,Transplant rejection; Autoimmune,Autoimmune – Rheumatology,chemical,IMPDH1,,500MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Mycophenolate Mofetil Hydrochloride,CELLCEPT,Transplant rejection; Autoimmune,Autoimmune – Rheumatology,chemical,IMPDH1,0.02,500MG/VIAL,As directed,Indefinite (lifelong maintenance)
Mycophenolate Sodium,MYCOPHENOLATE SODIUM,Transplant rejection; Autoimmune,Autoimmune – Rheumatology,chemical,IMPDH1,0.00,360MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Nadolol,NADOLOL,Hypertension; Angina,Cardiovascular – Ischemic,chemical,ADRB1 | ADRB2,0.00,20MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Naltrexone,VIVITROL,Alcohol use disorder,Pain – Chronic,chemical,OPRK1,0.71,380MG/VIAL,Once daily,Indefinite (lifelong maintenance)
Naltrexone Hydrochloride,NALTREXONE HYDROCHLORIDE,Alcohol use disorder,Pain – Chronic,chemical,OPRK1,,50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Nateglinide,NATEGLINIDE,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,KCNJ11,,60MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Navepegritide,YUVIWEL,Achondroplasia,Endocrinology – Growth,protein,,,5.5MG/VIAL SC,Weekly or as directed,Indefinite (lifelong maintenance)
Nebivolol Hydrochloride,BYSTOLIC,Hypertension,Cardiovascular – Hypertension,chemical,ADRB1 | ADRB2,0.01,20MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Nebivolol Hydrochloride; Valsartan,VYDUO,Hypertension,Cardiovascular – Hypertension,chemical,ADRB1 | ADRB2 | AGTR1,,5MG BASE; 80MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Nefazodone Hydrochloride,NEFAZODONE HYDROCHLORIDE,Major depressive disorder,Psychiatry – Mood,chemical,SLC6A4 | HTR2A | HTR2C | SLC6A2,0.00,50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Nelarabine,ARRANON,Acute lymphoblastic leukemia; Lymphoma,Oncology – Hematologic,chemical,DNA inhibitor,0.00,250MG/50ML (5MG/mL) IV,As directed,Long-term (until progression / disease control)
Nelfinavir Mesylate,VIRACEPT,HIV infection,Infectious – HIV,chemical,pol,0.00,625MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Neratinib Maleate,NERLYNX,Breast cancer,Oncology – Solid Tumor,chemical,ERBB2 | EGFR | ERBB4,0.05,40MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Netarsudil Mesylate,RHOPRESSA,Hypertension; Glaucoma / ocular hypertension,Ophthalmology,chemical,ROCK2,0.02,0.02% BASE ophthalmic,Once daily,Indefinite (lifelong maintenance)
Nevirapine,NEVIRAPINE,HIV infection,Psychiatry – Other,chemical,pol,0.00,50MG/5ML oral,Once or twice daily,Indefinite (lifelong maintenance)
Niacin,NIACIN,Metabolic disorder,Endocrinology – Lipid,chemical,,0.00,1GM oral,Once daily,Indefinite (lifelong maintenance)
Nicardipine Hydrochloride,CARDENE,Hypertension; Angina,Cardiovascular – Ischemic,chemical,CACNA1C,0.00,40MG/200ML (0.2MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Nifedipine,NIFEDIPINE,Angina,Cardiovascular – Ischemic,chemical,CACNA1C,0.04,60MG oral,Once daily,Indefinite (lifelong maintenance)
Nilotinib,CAVHANZA,Chronic myeloid leukemia,Oncology – Hematologic,chemical,,,80MG oral,Once daily,Long-term (until progression / disease control)
Nilotinib D-tartrate,NILOTINIB D-TARTRATE,Chronic myeloid leukemia,Oncology – Hematologic,chemical,,,200MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Nilotinib Hydrochloride,NILOTINIB HYDROCHLORIDE,Chronic myeloid leukemia,Oncology – Hematologic,chemical,ABL1 | ABL1,0.18,200MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Nilotinib Tartrate,DANZITEN,Chronic myeloid leukemia,Oncology – Hematologic,chemical,,,95MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Nilutamide,NILUTAMIDE,Prostate cancer,Oncology – Solid Tumor,chemical,AR,,150MG oral,Once or twice daily,Long-term (until progression / disease control)
Nimodipine,NIMODIPINE,Hypertension; Angina,Cardiovascular – Ischemic,chemical,NR3C2 | CACNA1C,0.00,6MG/mL oral,Once or twice daily,Indefinite (lifelong maintenance)
Niraparib Tosylate,ZEJULA,Prostate cancer,Oncology – Solid Tumor,chemical,PARP2 | PARP1,0.06,300MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Nirmatrelvir; Ritonavir,PAXLOVID (COPACKAGED),HIV infection,Infectious – HIV,chemical,pol | CYP3A4,,150MG; 100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Nisoldipine,NISOLDIPINE,Hypertension,Cardiovascular – Hypertension,chemical,CACNA1C,,34MG oral,Once daily,Indefinite (lifelong maintenance)
Nitisinone,HARLIKU,Metabolic disorder,Endocrinology – Metabolic,chemical,HPD,0.05,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Nizatidine,AXID AR,Peptic ulcer disease,Gastroenterology – Acid-Related,chemical,HRH2,0.00,75MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Norethindrone,CAMILA,Contraception,Endocrinology – Reproductive,chemical,PGR,0.01,0.35MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Norethindrone Acetate,NORETHINDRONE ACETATE,Contraception,Endocrinology – Reproductive,chemical,PGR,,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Norgestrel,OPILL,Metabolic disorder,Endocrinology – Metabolic,chemical,PGR,,0.075MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Nortriptyline Hydrochloride,NORTRIPTYLINE HYDROCHLORIDE,Major depressive disorder,Psychiatry – Mood,chemical,SLC6A4 | SLC6A2,,10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Nystatin,KLAYESTA,Dyslipidemia; CV risk reduction,Endocrinology – Lipid,mixture,Ergosterol sequestering agent,0.07,"100,000 UNITS/mL oral",Once or twice daily,Indefinite (lifelong maintenance)
Nystatin; Triamcinolone Acetonide,NYSTATIN AND TRIAMCINOLONE ACETONIDE,Dyslipidemia; CV risk reduction,Endocrinology – Lipid,mixture,NR3C1,,"100,000 UNITS/GM; 0.1% topical",Once or twice daily,Indefinite (lifelong maintenance)
Octreotide Acetate,BYNFEZIA PEN,Acromegaly,Gastroenterology – Other,chemical,SSTR5,0.01,7MG BASE/2.8ML (2.5MG BASE/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance)
Olanzapine,OLANZAPINE,Schizophrenia,Psychiatry – Psychotic,chemical,HTR2A | HTR2C | DRD2,0.10,20MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Olanzapine Pamoate,ZYPREXA RELPREVV,Schizophrenia,Psychiatry – Psychotic,chemical,HTR2A | HTR2C | DRD2,,405MG BASE/VIAL,Once daily,Indefinite (lifelong maintenance)
Olanzapine; Samidorphan L-malate,LYBALVI,Schizophrenia; Bipolar disorder,Psychiatry – Psychotic,chemical,HTR2A | HTR2C | DRD2 | OPRK1 | OPRD1 | OPRM1,0.21,20MG; 10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Olaparib,LYNPARZA,Ovarian / Breast / Prostate cancer,Oncology – Solid Tumor,chemical,PARP1,0.23,150MG oral,Once or twice daily,Long-term (until progression / disease control)
Olmesartan Medoxomil,BENICAR,Hypertension,Cardiovascular – Hypertension,chemical,AGTR1,0.02,40MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Olodaterol Hydrochloride,STRIVERDI RESPIMAT,COPD,Respiratory – Obstructive,chemical,ADRB2,,0.0025MG BASE//inh inh,Twice daily,Indefinite (lifelong maintenance)
Olodaterol Hydrochloride; Tiotropium Bromide,STIOLTO RESPIMAT,COPD,Respiratory – Obstructive,chemical,ADRB2 | CHRM3,,0.0025MG BASE//inh; 0.0025MG BASE//inh inh,Twice daily,Indefinite (lifelong maintenance)
Olsalazine Sodium,DIPENTUM,Ulcerative colitis,Autoimmune – Gastroenterology,chemical,ALOX5 | PPARG | PTGS2,0.00,250MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Olutasidenib,REZLIDHIA,Acute myeloid leukemia,Oncology – Hematologic,chemical,IDH1,,150MG oral,Once or twice daily,Long-term (until progression / disease control)
Omega-3-acid Ethyl Esters,LOVAZA,Hypertriglyceridemia,Endocrinology – Lipid,mixture,Unknown,0.00,1GM CONTAINS AT LEAST 900MG OF THE ETHYL ESTERS OF OMEGA-3 F oral,Once or twice daily,Indefinite (lifelong maintenance)
Omeprazole,OMEPRAZOLE,GERD,Gastroenterology – Acid-Related,chemical,ATP4A,0.35,20MG oral,Once daily,Indefinite (lifelong maintenance)
Omeprazole Magnesium,OMEPRAZOLE MAGNESIUM,GERD,Gastroenterology – Acid-Related,chemical,ATP4A,0.01,20MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Omeprazole; Sodium Bicarbonate,KONVOMEP,Peptic ulcer disease,Gastroenterology – Acid-Related,chemical,ATP4A,0.01,20MG/PACKET; 1.68GM/PACKET oral,Once or twice daily,Indefinite (lifelong maintenance)
Omidenepag Isopropyl,OMLONTI,Hypertension; Glaucoma / ocular hypertension,Ophthalmology,chemical,PTGER2,,0.002% ophthalmic,As directed,Indefinite (lifelong maintenance)
Orlistat,ALLI,Obesity / weight management,Endocrinology – Metabolic,chemical,LIPF | PNLIP,0.01,120MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Osilodrostat Phosphate,ISTURISA,Cushing's syndrome,Endocrinology – Metabolic,chemical,CYP11B1,0.01,5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Osimertinib Mesylate,TAGRISSO,Non-small cell lung cancer; Small cell lung cancer,Oncology – Solid Tumor,chemical,EGFR,0.31,80MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Oxcarbazepine,OXCARBAZEPINE,Epilepsy / seizures,Psychiatry – Other,chemical,SCN1A,0.09,600MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Oxybutynin,OXYTROL,Overactive bladder,Urology – Bladder,chemical,CHRM3 | CHRM2,0.04,3.9MG/24HR transdermal,Once daily,Indefinite (lifelong maintenance)
Oxybutynin Chloride,OXYBUTYNIN CHLORIDE,Overactive bladder,Urology – Bladder,chemical,CHRM3 | CHRM2,,5MG/5ML oral,Once or twice daily,Indefinite (lifelong maintenance)
Oxycodone,XTAMPZA ER,Chronic pain; Cancer pain,Pain – Chronic,chemical,OPRM1,0.27,36MG oral,Once daily,Indefinite (lifelong maintenance)
Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE,Chronic pain; Cancer pain,Pain – Chronic,chemical,OPRM1,0.13,30MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Oxymorphone Hydrochloride,OXYMORPHONE HYDROCHLORIDE,Chronic pain; Cancer pain,Pain – Chronic,chemical,OPRK1,,5MG oral,Once daily,Indefinite (lifelong maintenance)
Ozanimod Hydrochloride,ZEPOSIA,Multiple sclerosis; Ulcerative colitis,Neurology – Demyelinating,chemical,S1PR1,0.08,0.92MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Paclitaxel,ABRAXANE,Breast cancer,Oncology – Solid Tumor,chemical,TUBB4B,0.12,100MG/VIAL IV,Once daily,Long-term (until progression / disease control)
Pacritinib Citrate,VONJO,Myelofibrosis,Oncology – Hematologic,chemical,JAK2 | FLT3 | ACVR1 | IRAK1,0.00,100MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Palbociclib,IBRANCE,Breast cancer,Oncology – Solid Tumor,chemical,CCND1 | CDK4,0.67,125MG oral,Once or twice daily,Long-term (until progression / disease control)
Paliperidone,INVEGA,Schizophrenia,Psychiatry – Psychotic,chemical,DRD2 | HTR2A,4.28,9MG oral,Once daily,Indefinite (lifelong maintenance)
Paliperidone Palmitate,ERZOFRI,Schizophrenia,Psychiatry – Psychotic,chemical,DRD2 | HTR2A,,819MG/2.625ML (312MG/mL),Once daily,Indefinite (lifelong maintenance)
Palopegteriparatide,YORVIPATH,Osteoporosis,Bone / Metabolic,protein,PTH1R,,0.42MG TERIPARATIDE/1.4ML (0.3MG TERIPARATIDE/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance)
Pamidronate Disodium,PAMIDRONATE DISODIUM,Metabolic disorder,Endocrinology – Metabolic,chemical,FDPS,,90MG/10ML (9MG/mL),As directed,Indefinite (lifelong maintenance)
Pantoprazole Sodium,PANTOPRAZOLE SODIUM,GERD,Gastroenterology – Acid-Related,chemical,ATP4A,0.02,40MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Paricalcitol,PARICALCITOL,Mineral / vitamin D disorder; Chronic kidney disease,Endocrinology – Metabolic,chemical,VDR,0.07,0.01MG/2ML (0.005MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Paroxetine Hydrochloride,PAROXETINE,Major depressive disorder; Anxiety disorder; Obsessive-compulsive disorder; Panic disorder; PTSD,Psychiatry – Mood,chemical,SLC6A4,0.04,40MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Paroxetine Mesylate,BRISDELLE,Major depressive disorder; Anxiety disorder; Obsessive-compulsive disorder; Panic disorder; PTSD,Psychiatry – Mood,chemical,SLC6A4,,7.5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Pasireotide Diaspartate,SIGNIFOR,Cushing's syndrome,Endocrinology – Metabolic,chemical,SSTR5 | SSTR2 | SSTR1 | SSTR3,0.00,0.9MG BASE/mL (0.9MG BASE/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance)
Pasireotide Pamoate,SIGNIFOR LAR KIT,Cushing's syndrome,Endocrinology – Metabolic,chemical,SSTR3 | SSTR5 | SSTR2 | SSTR1,,60MG BASE/VIAL,As directed,Indefinite (lifelong maintenance)
Patiromer Sorbitex Calcium,VELTASSA,Hyperkalemia,Metabolic – Electrolyte,polymer,Potassium chelating agent,0.03,16.8GM BASE/PACKET oral,Once daily,Indefinite (lifelong maintenance)
Pemetrexed,PEMETREXED,Non-small cell lung cancer; Small cell lung cancer,Oncology – Solid Tumor,chemical,DHFR | TYMS | GART,0.05,500MG/20ML (25MG/mL) IV,As directed,Long-term (until progression / disease control)
Pemetrexed Dipotassium,AXTLE,Non-small cell lung cancer; Small cell lung cancer,Oncology – Solid Tumor,chemical,GART | thyA | DHFR,,500MG BASE/VIAL IV,Once daily,Long-term (until progression / disease control)
Pemetrexed Disodium,ALIMTA,Non-small cell lung cancer; Small cell lung cancer,Oncology – Solid Tumor,chemical,TYMS | DHFR | GART,0.02,500MG BASE/20ML (25MG BASE/mL) IV,As directed,Long-term (until progression / disease control)
Pemigatinib,PEMAZYRE,Cancer,Oncology – Solid Tumor,chemical,FGFR2 | FGFR3 | FGFR1,0.01,13.5MG oral,Once or twice daily,Long-term (until progression / disease control)
Penicillamine,CUPRIMINE,Rheumatoid arthritis; Ankylosing spondylitis,Autoimmune – Rheumatology,chemical,Copper chelating agent,,250MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Pentostatin,NIPENT,Anemia,Endocrinology – Lipid,chemical,ADA,0.00,10MG/VIAL,As directed,Indefinite (lifelong maintenance)
Perampanel,FYCOMPA,Epilepsy / seizures,Neurology – Epilepsy,chemical,GRIA4,0.18,12MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Perphenazine,PERPHENAZINE,Schizophrenia; Nausea / vomiting,Psychiatry – Psychotic,chemical,DRD2,,2MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Pexidartinib Hydrochloride,TURALIO,Cancer,Oncology – Solid Tumor,chemical,CSF1R | FLT3 | KIT,0.01,125MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Phenobarbital Sodium,SEZABY,Epilepsy / seizures,Neurology – Epilepsy,chemical,,,100MG/VIAL IV,Once daily,Indefinite (lifelong maintenance)
Phenytoin,DILANTIN,Epilepsy / seizures,Neurology – Epilepsy,chemical,SCN1A,0.01,50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Phenytoin Sodium,DILANTIN,Epilepsy / seizures,Neurology – Epilepsy,chemical,SCN1A,0.01,50MG/mL,As directed,Indefinite (lifelong maintenance)
Pilocarpine Hydrochloride,ISOPTO CARPINE,Ophthalmic disorder,Ophthalmology,chemical,CHRM3 | CHRM1,,7.5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Pimecrolimus,ELIDEL,Atopic dermatitis,Autoimmune – Dermatology,chemical,FKBP1A,0.07,1% topical,Once or twice daily,Indefinite (lifelong maintenance)
Pindolol,PINDOLOL,Hypertension,Cardiovascular – Hypertension,chemical,ADRB1 | ADRB2,0.00,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Pioglitazone Hydrochloride,ACTOS,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,PPARG,,45MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Pirfenidone,ESBRIET,Pulmonary fibrosis,Psychiatry – Other,chemical,Unknown,0.00,801MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Pirtobrutinib,JAYPIRCA,Lymphoma,Oncology – Hematologic,chemical,BTK,0.00,100MG oral,Once or twice daily,Long-term (until progression / disease control)
Pitavastatin Calcium,LIVALO,Familial hypercholesterolemia; Dyslipidemia / hypercholesterolemia,Endocrinology – Lipid,chemical,HMGCR,0.01,4MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Pitavastatin Magnesium,ZYPITAMAG,Familial hypercholesterolemia; Dyslipidemia / hypercholesterolemia,Endocrinology – Lipid,chemical,HMGCR,0.00,4MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Pitolisant Hydrochloride,WAKIX,Narcolepsy / EDS,Psychiatry – ADHD / Wakefulness,chemical,HRH3,0.20,17.8MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Plecanatide,TRULANCE,Irritable bowel syndrome; Chronic constipation,Gastroenterology – Motility,protein,GUCY2C,0.07,3MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Pomalidomide,POMALIDOMIDE,Multiple myeloma,Oncology – Hematologic,chemical,CRBN,0.15,4MG oral,Once or twice daily,Long-term (until progression / disease control)
Ponatinib Hydrochloride,ICLUSIG,Acute lymphoblastic leukemia,Oncology – Hematologic,chemical,ABL1,0.10,45MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Ponesimod,PONVORY,Multiple sclerosis,Neurology – Demyelinating,chemical,S1PR1,0.00,20MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Potassium Chloride,KLOR-CON,Metabolic disorder,Endocrinology – Metabolic,chemical,Supplement,0.02,10MEQ oral,Once daily,Indefinite (lifelong maintenance)
