Drug,Matched_Query,Source,N_Indications,Indications_Parsed,Label_Indication_Text
Amlodipine Besylate; Telmisartan,openfda.brand_name=TELMISARTAN AND AMLODIPINE,openFDA label,1,Hypertension,"Telmisartan and amlodipine tablets are indicated for the treatment of hypertension, alone or with other antihypertensive agents to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including angiotensin II receptor blockers and dihydropyridine calcium channel blockers. There are no controlled trials demonstrating risk reduction with telmisartan and amlodipine tablets. Con"
Amlodipine Besylate; Valsartan,openfda.brand_name=EXFORGE,openFDA label,1,Hypertension,"Exforge HCT (amlodipine, valsartan, and hydrochlorothiazide) is indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes, including amlodipine, hydrochlorothiazide, and the angiotensin II receptor blocker (ARB) class to which valsartan principally belongs. There are no controlled trials demonstrating risk reduction with Exforge HCT"
Amoxapine,openfda.generic_name=Amoxapine,openFDA label,2,Major depressive disorder; Anxiety disorder,INDICATIONS AND USAGE Amoxapine is indicated for the relief of symptoms of depression in patients with neurotic or reactive depressive disorders as well as endogenous and psychotic depressions. It is indicated for depression accompanied by anxiety or agitation.
Amphetamine,openfda.generic_name=Amphetamine,openFDA label,2,ADHD; Narcolepsy / EDS,"INDICATIONS AND USAGE Amphetamine sulfate tablets are indicated for: Narcolepsy Attention Deficit Disorder with Hyperactivity as an integral part of a total treatment program which typically includes other remedial measures (psychological, educational, social) for a stabilizing effect in children with behavioral syndrome characterized by the following group of developmentally inappropriate symptoms: moderate to severe distractibility, short attention span, hyperactivity, emotional lability, and impulsivity. The diagnosis of the syndrome should not be made with finality when these symptoms are "
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate,openfda.generic_name=Amphetamine Aspartate,openFDA label,2,ADHD; Narcolepsy / EDS,"INDICATIONS AND USAGE Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate Tablets (Mixed Salts of a Single Amphetamine Product) are indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD) and Narcolepsy. Attention Deficit Hyperactivity Disorder (ADHD) A diagnosis of Attention Deficit Hyperactivity Disorder (ADHD; DSM-IV ® ) implies the presence of hyperactive-impulsive or inattentive symptoms that caused impairment and were present before age 7 years. The symptoms must cause clinically significant impairment, e.g., in so"
Amphetamine Sulfate,openfda.generic_name=Amphetamine,openFDA label,2,ADHD; Narcolepsy / EDS,"INDICATIONS AND USAGE Amphetamine sulfate tablets are indicated for: Narcolepsy Attention Deficit Disorder with Hyperactivity as an integral part of a total treatment program which typically includes other remedial measures (psychological, educational, social) for a stabilizing effect in children with behavioral syndrome characterized by the following group of developmentally inappropriate symptoms: moderate to severe distractibility, short attention span, hyperactivity, emotional lability, and impulsivity. The diagnosis of the syndrome should not be made with finality when these symptoms are "
Amphetamine; Amphetamine Aspartate/dextroamphetamine Sulfate,openfda.brand_name=DYANAVEL XR,openFDA label,1,ADHD,"DYANAVEL XR is indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD) in patients 6 years and older . Limitations of Use The use of DYANAVEL XR is not recommended in pediatric patients younger than 6 years of age because they had higher plasma exposure and a higher incidence of adverse reactions (e.g., weight loss) than patients 6 years and older at the same dosage . DYANAVEL XR is a central nervous system (CNS) stimulant indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD) in patients 6 years and older Limitations of Use The use of DYANAVEL XR"
Anastrozole,openfda.generic_name=Anastrozole,openFDA label,2,Breast cancer; Menopausal / hormone therapy,Anastrozole is an aromatase inhibitor indicated for: Adjuvant treatment of postmenopausal women with hormone receptor-positive early breast cancer First-line treatment of postmenopausal women with hormone receptor-positive or hormone receptor unknown locally advanced or metastatic breast cancer Treatment of advanced breast cancer in postmenopausal women with disease progression following tamoxifen therapy. Patients with ER-negative disease and patients who did not respond to previous tamoxifen therapy rarely responded to anastrozole 1.1 Adjuvant Treatment Anastrozole tablets are indicated for 
Apalutamide,openfda.generic_name=Apalutamide,openFDA label,1,Prostate cancer,ERLEADA is indicated for the treatment of patients with Metastatic castration-sensitive prostate cancer (mCSPC) Non-metastatic castration-resistant prostate cancer (nmCRPC) ERLEADA is an androgen receptor inhibitor indicated for the treatment of patients with metastatic castration-sensitive prostate cancer. non-metastatic castration-resistant prostate cancer.
Apixaban,openfda.generic_name=Apixaban,openFDA label,4,Atrial fibrillation; Stroke (risk reduction); DVT / venous thrombosis; Pulmonary embolism,"1 INDICATIONS & USAGE Apixaban is a factor Xa inhibitor indicated: to reduce the risk of stroke and systemic embolism in patients with nonvalvular atrial fibrillation. for the prophylaxis of deep vein thrombosis (DVT), which may lead to pulmonary embolism (PE), in patients who have undergone hip or knee replacement surgery. for the treatment of DVT and PE, and for the reduction in the risk of recurrent DVT and PE following initial therapy. ( 1.3 , 1.4 , 1.5 ) 1.1 Reduction of Risk of Stroke and Systemic Embolism in Nonvalvular Atrial Fibrillation Apixaban tablets are indicated to reduce the ri"
Apomorphine Hydrochloride,openfda.generic_name=Apomorphine,openFDA label,0,,Take 15 minutes before meals
Apraclonidine Hydrochloride,openfda.generic_name=Apraclonidine,openFDA label,0,,"INDICATIONS AND USAGE IOPIDINE 1% Ophthalmic Solution is indicated to control or prevent post-surgical elevations in IOP that occur in patients after argon laser trabeculoplasty, argon laser iridotomy or Nd:YAG posterior capsulotomy."
Apremilast,openfda.generic_name=Apremilast,openFDA label,2,Psoriatic arthritis; Psoriasis,"OTEZLA/OTEZLA XR, an inhibitor of phosphodiesterase 4 (PDE4), is indicated for the treatment of: Adult patients with: Active psoriatic arthritis Plaque psoriasis who are candidates for phototherapy or systemic therapy Oral ulcers associated with Behçet's Disease Pediatric patients 6 years of age and older with: Active psoriatic arthritis Moderate to severe plaque psoriasis who are candidates for phototherapy or systemic therapy In the pediatric population, OTEZLA is indicated for patients weighing at least 20 kg, and OTEZLA XR is indicated for patients weighing at least 50 kg. 1.1 Psoriatic Ar"
Arformoterol Tartrate,openfda.generic_name=Arformoterol,openFDA label,2,COPD; Bronchospasm,"Arformoterol Tartrate Inhalation Solution is a long-acting beta 2 -adrenergic agonist (beta 2 -agonist) indicated for: Long-term, twice daily (morning and evening) administration in the maintenance treatment of bronchoconstriction in patients with chronic obstructive pulmonary disease (COPD), including chronic bronchitis and emphysema. Important limitations of use: Arformoterol Tartrate Inhalation Solution is not indicated to treat acute deteriorations of chronic obstructive pulmonary disease. ( 1.2 , 5.2 ) Arformoterol Tartrate Inhalation Solution is not indicated to treat asthma. 1.1 Mainten"
Aripiprazole,openfda.generic_name=Aripiprazole,openFDA label,1,Schizophrenia,Aripiprazole is indicated for the treatment of: • Schizophrenia • Irritability Associated with Autistic Disorder • Treatment of Tourette’s Disorder Aripiprazole is an atypical antipsychotic. The oral formulations are indicated for: • Schizophrenia • Irritability Associated with Autistic Disorder • Treatment of Tourette’s disorder
Aripiprazole Lauroxil,openfda.generic_name=Aripiprazole Lauroxil,openFDA label,1,Schizophrenia,ARISTADA is indicated for the treatment of schizophrenia in adults . ARISTADA is an atypical antipsychotic indicated for the treatment of schizophrenia in adults .
Armodafinil,openfda.generic_name=Armodafinil,openFDA label,1,Narcolepsy / EDS,"Armodafinil tablets are indicated to improve wakefulness in adult patients with excessive sleepiness associated with obstructive sleep apnea (OSA), narcolepsy, or shift work disorder (SWD). Limitations of Use In OSA, armodafinil tablets are indicated to treat excessive sleepiness and not as treatment for the underlying obstruction. If continuous positive airway pressure (CPAP) is the treatment of choice for a patient, a maximal effort to treat with CPAP for an adequate period of time should be made prior to initiating armodafinil tablets for excessive sleepiness. Armodafinil tablets are indica"
Arsenic Trioxide,openfda.generic_name=Arsenic Trioxide,openFDA label,0,,"Uses For temporary relief of discomfort associated with lymphatic swelling and edema. Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated."
Asciminib Hydrochloride,openfda.generic_name=Asciminib,openFDA label,1,Chronic myeloid leukemia,SCEMBLIX is indicated for the treatment of adult patients with: Newly diagnosed Philadelphia chromosome-positive chronic myeloid leukemia (Ph+ CML) in chronic phase (CP). This indication is approved under accelerated approval based on major molecular response rate . Continued approval for this indication may be contingent upon verification of clinical benefit in a confirmatory trial(s). Previously treated Ph+ CML in CP. Ph+ CML in CP with the T315I mutation. SCEMBLIX is a kinase inhibitor indicated for the treatment of adult patients with: Newly diagnosed Philadelphia chromosome-positive chron
